"AgeGroup","YearBin","mean_hours_away_grid","share_no_travel_grid"
"10-17","2007–2009",7.51007001469444,0
"10-17","2010–2012",7.05861818181818,0
"10-17","2013–2015",7.08750776594031,0
"10-17","2016–2018",7.526864512485,0
"10-17","2019–2021",6.62407712023258,0
"10-17","2022–2024",6.8042633728459,0
"18-30","2007–2009",6.78935225935569,0
"18-30","2010–2012",6.4989667513784,0
"18-30","2013–2015",6.31199715576156,0
"18-30","2016–2018",6.49685975139204,0
"18-30","2019–2021",5.25834972406286,0
"18-30","2022–2024",5.52287903912517,0
"31-55","2007–2009",6.4119370810738,0
"31-55","2010–2012",6.28633004926108,0
"31-55","2013–2015",6.18114697174604,0
"31-55","2016–2018",6.61997633618292,0
"31-55","2019–2021",5.4099428323323,0
"31-55","2022–2024",5.45879702635729,0
"56-65","2007–2009",4.42447772231466,0
"56-65","2010–2012",4.35789473684211,0
"56-65","2013–2015",4.43409397547956,0
"56-65","2016–2018",5.17763241619792,0
"56-65","2019–2021",4.54508829300196,0
"56-65","2022–2024",4.53443317942061,0
"66+","2007–2009",2.08897072830021,0
"66+","2010–2012",1.88920232879179,0
"66+","2013–2015",1.90761183122428,0
"66+","2016–2018",1.99151529636711,0
"66+","2019–2021",1.80655023502885,0
"66+","2022–2024",1.93249053455689,0
