"AgeGroup","dx_endpoint","dy_endpoint","mag_endpoint","angle_endpoint","dx_trajectory","dy_trajectory","mag_trajectory","angle_trajectory","dx_diff","dy_diff","mag_diff","angle_diff","dx_pct_diff","dy_pct_diff"
"10-17",-0.014297653603907,-0.000986038265640143,0.0143316143556342,-176.05484093383,-0.0028595307207814,-0.000197207653128029,0.00286632287112685,-176.05484093383,0.0114381228831256,0.000788830612512115,-0.0114652914845074,0,80,80
"18-30",-0.03887646771799,1.03221760439083,1.03294944820963,92.1569145771879,-0.007775293543598,0.206443520878166,0.206589889641925,92.1569145771879,0.031101174174392,-0.825774083512664,-0.826359558567701,0,80,-80
"31-55",-0.022001236629219,0.525337707095366,0.525798213109774,92.3981560125877,-0.0044002473258438,0.105067541419073,0.105159642621955,92.3981560125877,0.0176009893033752,-0.420270165676293,-0.420638570487819,0,80,-80
"56-65",-0.00940047001711952,-0.161597117717115,0.161870310097379,-93.3292730987491,-0.0018800940034239,-0.0323194235434229,0.0323740620194759,-93.3292730987491,0.00752037601369562,0.129277694173692,-0.129496248077904,0,80,80
"66+",0.000628282310297448,0.0462284872681948,0.0462327565019336,89.2213522288135,0.00012565646205949,0.00924569745363897,0.00924655130038672,89.2213522288135,-0.000502625848237959,-0.0369827898145559,-0.0369862052015469,0,-80,-80
