"AgeGroup","YearBin","mean_hours_away_grid","share_no_travel_grid"
"10-17","2007–2009",6.95234913949604,0
"10-17","2010–2012",6.70792922188495,0
"10-17","2013–2015",6.73542530714453,0
"10-17","2016–2018",6.79596607528035,0
"10-17","2019–2021",6.25527339342369,0
"10-17","2022–2024",6.51354165359961,0
"18-30","2007–2009",6.49974293059126,0
"18-30","2010–2012",5.93328526026226,0
"18-30","2013–2015",6.09897250763677,0
"18-30","2016–2018",6.0379399722024,0
"18-30","2019–2021",4.89107561880251,0
"18-30","2022–2024",5.19755902114282,0
"31-55","2007–2009",6.16654424952599,0
"31-55","2010–2012",5.95077302152972,0
"31-55","2013–2015",6.11674461263255,0
"31-55","2016–2018",6.20885471560645,0
"31-55","2019–2021",5.35124408487254,0
"31-55","2022–2024",5.46576893575055,0
"56-65","2007–2009",4.09299890035084,0
"56-65","2010–2012",3.879819908171,0
"56-65","2013–2015",3.88811290030758,0
"56-65","2016–2018",4.58892494129036,0
"56-65","2019–2021",4.29332782482958,0
"56-65","2022–2024",4.02480793590735,0
"66+","2007–2009",1.83523385572291,0
"66+","2010–2012",1.68890624461622,0
"66+","2013–2015",1.60103679041863,0
"66+","2016–2018",1.88333588425422,0
"66+","2019–2021",1.67972422438107,0
"66+","2022–2024",1.77670106846284,0
