"AgeGroup","Period","shift_mean","shift_median","shift_peak","shift_morning","shift_midday","shift_evening","shift_total_away","shift_sd"
"10-17","2007–2009",0.16236037244588,0,0,-0.00989563884048966,-0.00330020060819047,0.0119770088224946,-0.00112674724894191,0.0990722963488211
"10-17","2010–2012",0.107056452638378,0,0,-0.000554023911718493,-0.0164668452511769,0.0147866961471936,-0.00220224157834059,0.120440087528356
"10-17","2013–2015",-0.0908206356388135,0,0.252631578947369,0.00541714689254691,0.00737600876304045,-0.0103129241401517,0.00243318346906107,-0.0780030212298777
"10-17","2016–2018",-0.0674162126968145,0,0.505263157894737,-0.00248825874774067,0.0159498234032718,-0.0102694653998937,0.00303619022593482,-0.114035323959186
"10-17","2019–2021",-0.214899148853046,-0.252631578947369,-0.252631578947367,0.0166734605244039,0.000553877036846617,-0.0170252817412212,5.4487177606366e-05,-0.130078657658341
"10-17","2022–2024",-0.118878053833161,0,0.252631578947369,0.00662275782420729,0.00464125644432151,-0.0101875953522932,0.00107611467389901,-0.0823148289597087
"18-30","2007–2009",0.0911445471709698,0.252631578947369,-0.505263157894738,-0.00578597714160634,-0.00662464307310079,0.00886632614508601,-0.00302052650553841,0.0695031771024328
"18-30","2010–2012",-0.00321399855571869,0,-0.252631578947369,0.00459097222927168,-0.00938085672614614,0.00559208340642384,0.000197206666832761,0.0252233591088449
"18-30","2013–2015",0.0397577494050161,0,0.252631578947367,-0.00309323548889173,0.00234339852096377,0.00165846280583054,-0.000361107994864773,-0.0159034434499357
"18-30","2016–2018",0.0831693313932504,0.252631578947369,0,-0.00665525589897298,0.0039073598200533,0.00475369738223355,0.00157275965585912,-0.0205456867763507
"18-30","2019–2021",-0.0359277609766089,0,0.505263157894737,-0.00194615680905685,0.0104686010752961,-0.00826445711448118,-0.000422750690454499,-0.0535854211358222
"18-30","2022–2024",-0.155054398458057,0,-0.505263157894738,0.0118524408996814,0.00102437395257282,-0.0113201375170993,0.00291205044466281,-0.0364864276791121
"31-55","2007–2009",0.00550640282097881,0,0,0.00117648359398181,-0.00247853590463065,0.00187394333080738,0.000179793770046288,0.0099465947672468
"31-55","2010–2012",-0.00584416580931091,0,-0.505263157894737,0.00291587370213287,-0.00654413495029582,0.00264149104685121,-0.000904931767368611,0.0380790507061133
"31-55","2013–2015",-0.0379943868972106,0,0,0.00318500748247363,0.000281716466692727,-0.00329217183005964,0.000637734834854187,-0.0200457067754187
"31-55","2016–2018",0.122034266964722,0,-0.757894736842106,-0.00854136826604623,0.00318270767777906,0.00622894550453279,-0.000537573600065899,0.00670960465419679
"31-55","2019–2021",-0.14188743330913,-0.252631578947367,-0.505263157894737,0.00925651086506529,0.00681896783011066,-0.0131705675726153,0.00345627681719352,-0.0957176487158304
"31-55","2022–2024",-0.131708440204712,-0.252631578947367,0.505263157894737,0.00908440391732995,0.00856599432736704,-0.0147284857114406,0.00237378561576318,-0.13209004512005
"56-65","2007–2009",0.0338710825608857,0,0,-0.00149306359627205,0.00111852972016097,0.000277268613282977,-0.00102077896324138,-0.00950616307694307
"56-65","2010–2012",-0.00549375978070721,0,-0.252631578947369,0.00647012590832713,-0.00547580456126689,0.000735593363296969,0.000453967802166222,-0.0142007031881759
"56-65","2013–2015",0.000340114874180841,0,-0.252631578947369,0.00352151414803814,-0.00618522912381025,0.00527288752530237,0.00186964066527573,0.0348956536186042
"56-65","2016–2018",0.0352202348025088,0.252631578947367,-0.252631578947369,-0.0103185077315667,0.00882513648339089,7.87073552337564e-05,-0.000101078951177058,0.0168980684084485
"56-65","2019–2021",0.00211675148495161,0,0.505263157894737,-0.00551714675914189,-0.00220529112796697,0.00473951350315478,0.000612011193158235,0.0716528238190119
"56-65","2022–2024",-0.0913064727056359,0,0.252631578947367,0.00151941373762765,0.00745655710696203,-0.01067662028565,-0.00102706995169377,-0.0630647107717017
"66+","2007–2009",-0.0458232735370405,0,-0.252631578947369,0.0106656088787648,-0.0049661677724574,-0.00777744250501039,-0.0027884326027956,-0.0114107886389467
"66+","2010–2012",-0.103372268089098,0,-0.252631578947369,0.0179214737820269,-0.0143629129361308,-0.0053621369519414,-0.00170561421538162,0.026631558373007
"66+","2013–2015",-0.124654570741152,0,0,-0.00267014642641644,0.0257994248206687,-0.0218818739182995,0.000818367510671547,-0.144816761854341
"66+","2016–2018",0.0454687244301688,0.252631578947369,0,-0.00957211875548608,0.00943272340637169,0.000935462758578837,0.00125978509425695,0.000213499054270816
"66+","2019–2021",0.121276111124873,0.252631578947369,0,-0.00954810980605536,-0.00238242562808622,0.0150835871374112,0.00310949302762586,0.0427296376761364
"66+","2022–2024",0.106570063271414,0.252631578947369,0,-0.0142994456296428,0.000552068693033647,0.0141830205339299,0.000883543086786842,0.0228369215424795
