"AgeGroup","Period","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","fraction_away_baseline","mean_distance_baseline","mean_distance_active_baseline","volume_baseline","dist_p90_baseline","var_distance_baseline","change_fraction_away","change_mean_distance_active","change_volume","pct_change_volume","pct_change_distance"
"10-17","2007–2009",0.272350480826432,1.37570040837518,5.07264633319836,33.0168098010043,8.22084796039412,1.52425949239035,0.271257242691814,1.46452074842202,5.4744943845129,35.1484979621285,9.19278935241979,1.92363087750754,0.00109323813461776,-0.401848051314534,-2.13168816112425,-6.06480585150772,-7.34036831695991
"10-17","2010–2012",0.266765346983436,1.47439554695852,5.55951990427319,35.3854931270044,10.2213795366859,1.75218786887078,0.271257242691814,1.46452074842202,5.4744943845129,35.1484979621285,9.19278935241979,1.92363087750754,-0.00449189570837782,0.0850255197602889,0.236995164875871,0.674268257867596,1.55312096037257
"10-17","2013–2015",0.273218169268863,1.4169073733178,5.26966798380151,34.0057769596273,7.78030435207774,1.88823808991273,0.271257242691814,1.46452074842202,5.4744943845129,35.1484979621285,9.19278935241979,1.92363087750754,0.00196092657704944,-0.20482640071139,-1.14272100250128,-3.25112328763673,-3.74146699813657
"10-17","2016–2018",0.294039762956633,1.66839597285936,5.77251978285266,40.0415033486246,9.09999999996182,2.88410478213998,0.271257242691814,1.46452074842202,5.4744943845129,35.1484979621285,9.19278935241979,1.92363087750754,0.0227825202648189,0.298025398339763,4.89300538649601,13.9209515916387,5.44388901343773
"10-17","2019–2021",0.254400996395942,1.45395241944592,5.80978085277204,34.894858066702,9.75988230384625,1.87664656942723,0.271257242691814,1.46452074842202,5.4744943845129,35.1484979621285,9.19278935241979,1.92363087750754,-0.0168562462958725,0.33528646825914,-0.253639895426566,-0.721623711203409,6.12451935666699
"10-17","2022–2024",0.266768699719578,1.39777276957536,5.36283145017963,33.5465464698087,10.0743219615529,1.61634846230415,0.271257242691814,1.46452074842202,5.4744943845129,35.1484979621285,9.19278935241979,1.92363087750754,-0.00448854297223578,-0.111662934333269,-1.6019514923198,-4.55766699915841,-2.03969401538083
"18-30","2007–2009",0.318932167824609,3.61512179382233,11.4766605783145,86.7629230517359,12.0680319047978,10.0350877130064,0.295765145146131,3.55308836562165,12.1417750561331,85.2741207749195,15.2711889676031,9.93995241566468,0.0231670226784781,-0.665114477818641,1.4888022768164,1.74590164435244,-5.47790149911132
"18-30","2010–2012",0.29804498101922,3.37162919661122,11.4250306498523,80.9191007186693,12.5086185302238,9.27471519624297,0.295765145146131,3.55308836562165,12.1417750561331,85.2741207749195,15.2711889676031,9.93995241566468,0.00227983587308894,-0.716744406280775,-4.35502005625018,-5.10708291879694,-5.9031270384039
"18-30","2013–2015",0.297464122419808,3.51826573210146,11.9158585031362,84.4383775704351,13.7725156043172,10.1467861928145,0.295765145146131,3.55308836562165,12.1417750561331,85.2741207749195,15.2711889676031,9.93995241566468,0.00169897727367752,-0.225916552996917,-0.835743204484373,-0.98006663321726,-1.86065506857501
"18-30","2016–2018",0.301654259955663,3.48418619515721,11.6319339729904,83.620468683773,16.2410413513326,9.15529562682739,0.295765145146131,3.55308836562165,12.1417750561331,85.2741207749195,15.2711889676031,9.93995241566468,0.00588911480953264,-0.509841083142675,-1.65365209114647,-1.93921916299937,-4.19906546436257
"18-30","2019–2021",0.280258207787134,3.80940362419194,13.6824433604316,91.4256869806066,23.3917238819665,10.9371456875495,0.295765145146131,3.55308836562165,12.1417750561331,85.2741207749195,15.2711889676031,9.93995241566468,-0.0155069373589967,1.54066830429852,6.15156620568715,7.2138723328783,12.6889873776758
"18-30","2022–2024",0.27823713187035,3.51992365184571,12.7187232720736,84.478167644297,13.6452025329805,10.0906840775474,0.295765145146131,3.55308836562165,12.1417750561331,85.2741207749195,15.2711889676031,9.93995241566468,-0.0175280132757805,0.576948215940492,-0.795953130622507,-0.933405262217151,4.75176169277705
"31-55","2007–2009",0.313927567923313,4.24831085466951,13.6949598707445,101.959460512068,14.2916473725316,16.8978308253057,0.309025700730903,4.49595160081382,14.7190539080711,107.902838419532,18.0048110043522,18.6743649134003,0.00490186719241015,-1.02409403732662,-5.94337790746346,-5.50808300737679,-6.95760776285401
"31-55","2010–2012",0.312261942208939,4.30933517132148,13.9469529493333,103.424044111716,14.5372218800976,16.5533521757834,0.309025700730903,4.49595160081382,14.7190539080711,107.902838419532,18.0048110043522,18.6743649134003,0.00323624147803592,-0.772100958737798,-4.47879430781603,-4.15076597929913,-5.24558822571077
