"AgeGroup","distance_interpretation","time_interpretation","overall_trend","magnitude"
"10-17","EXPANDING: +0.51 km (+13.3%)","-2.2% less time away","Traveling further, similar time",0.509753542861096
"18-30","STABLE: 0.26 km (+3%)","-6.3% less time away","Relatively stable",0.259808046182881
"31-55","STABLE: 0.49 km (+4.8%)","-5.3% less time away","Relatively stable",0.487090588140807
"56-65","EXPANDING: +1.67 km (+16%)","+4.6% more time away","Expanding both space & time",1.66652012630458
"66+","STABLE: -0.07 km (-0.8%)","+8% more time away","Relatively stable",0.0666866936789953
