"AgeGroup","mean_hour","median_hour","peak_hour","morning_6_12","midday_12_18","evening_18_24","total_away","sd_hour","Period"
"10-17",13.0127110819023,12.3789473684211,11.1157894736842,0.444862329952955,0.430764821676929,0.11341835779188,0.989149864198485,3.553152957118,"Baseline"
"18-30",13.7468996606016,13.1368421052632,12.1263157894737,0.358923562028724,0.465396418504,0.15352865778689,0.979718393846656,3.78996740822465,"Baseline"
"31-55",13.0272454441051,12.6315789473684,11.6210526315789,0.417058088959815,0.473839037405654,0.0955681439316042,0.990170628567349,3.54358971933488,"Baseline"
"56-65",13.0663002756265,12.6315789473684,11.3684210526316,0.415567142149068,0.469058378131696,0.101803066611422,0.990057365736588,3.58738432989585,"Baseline"
"66+",14.1393682796,13.6421052631579,11.3684210526316,0.315796484997993,0.502853618490848,0.165895081660102,0.985494495762742,3.57821787049474,"Baseline"
"10-17",13.2213266914511,12.3789473684211,10.8631578947368,0.430794977723222,0.428104332970165,0.128201622712191,0.987247553992877,3.66565726240616,"2007–2009"
"10-17",13.1667689669314,12.3789473684211,10.8631578947368,0.440993652552365,0.413287351771844,0.132567409118207,0.986959737002711,3.69004090309292,"2010–2012"
"10-17",12.9972695984725,12.3789473684211,11.3684210526316,0.445473717090197,0.430656490504509,0.111615541847161,0.987792361921683,3.55390110178883,"2013–2015"
"10-17",12.9126077638846,12.3789473684211,11.6210526315789,0.446703791402745,0.445886566426373,0.0997139437609514,0.992328704072023,3.43524079760407,"2016–2018"
"10-17",12.8541493110057,12.1263157894737,11.6210526315789,0.458892670068245,0.426132890699134,0.105591726974451,0.990841090815157,3.48198290238248,"2019–2021"
"10-17",12.901341674046,12.3789473684211,12.1263157894737,0.448832962437001,0.438827130768311,0.102112428122802,0.989865836262519,3.46241646283348,"2022–2024"
"18-30",13.9439932252863,13.3894736842105,12.1263157894737,0.343576315764941,0.459667212222976,0.170355144219315,0.975592738336032,3.87311570422741,"2007–2009"
"18-30",13.9258294321943,13.3894736842105,11.8736842105263,0.348678733701272,0.453210802122259,0.172994945590911,0.976413160933635,3.87257711613858,"2010–2012"
"18-30",13.7327611050622,13.1368421052632,11.8736842105263,0.358137720175561,0.470836808438718,0.148486837915182,0.979228620533036,3.74620001180877,"2013–2015"
"18-30",13.7394403703927,13.1368421052632,12.6315789473684,0.355802158916471,0.472611567676525,0.149996468612728,0.980274164859902,3.76076712754067,"2016–2018"
"18-30",13.6263513981864,13.1368421052632,12.6315789473684,0.366859583534782,0.472535793100526,0.141174599958497,0.98225961104359,3.73184544623608,"2019–2021"
"18-30",13.5400543089375,13.1368421052632,11.8736842105263,0.379280633890215,0.461540577076639,0.140911206435538,0.984061026248924,3.75261550928493,"2022–2024"
"31-55",13.1081304719817,12.6315789473684,11.6210526315789,0.410730689082228,0.473027396284755,0.101825298602497,0.989057153082613,3.587717390357,"2007–2009"
"31-55",13.1016493411493,12.6315789473684,11.6210526315789,0.410494458331754,0.476631334272253,0.0989793909461089,0.989461711147428,3.55528172100295,"2010–2012"
"31-55",13.0346229032908,12.6315789473684,11.3684210526316,0.415690143437459,0.47576459637245,0.0942354672302276,0.989499052620577,3.54233931508409,"2013–2015"
"31-55",13.0871913419064,12.6315789473684,11.6210526315789,0.412891915601366,0.470184735400776,0.102008465758344,0.988628372619707,3.58362451844142,"2016–2018"
"31-55",12.8768496622257,12.3789473684211,11.6210526315789,0.429955699710507,0.474889190413215,0.0848158981843505,0.993147663117992,3.4683169446938,"2019–2021"
"31-55",12.9237026253345,12.6315789473684,11.8736842105263,0.425344456762893,0.472815398710572,0.0892487085803626,0.991924597782427,3.50084697298721,"2022–2024"
"56-65",13.1344143773635,12.6315789473684,11.6210526315789,0.407508134752148,0.475069406844812,0.102843438899194,0.989549289301322,3.57522646193063,"2007–2009"
"56-65",13.252736459547,12.8842105263158,11.3684210526316,0.400444176214882,0.471595663421556,0.114079424408107,0.988867867368056,3.62445087532335,"2010–2012"
"56-65",13.0383822344863,12.6315789473684,11.1157894736842,0.41750847193775,0.465960156235867,0.102653033005951,0.990795633689925,3.60230702201963,"2013–2015"
"56-65",13.1167608390789,12.6315789473684,11.3684210526316,0.411054089275065,0.46764007766874,0.10693537682749,0.989488461677174,3.63615276349582,"2016–2018"
"56-65",13.0287513100897,12.6315789473684,11.1157894736842,0.421579188754035,0.462464178692034,0.101603891621482,0.988670048800642,3.61130982416026,"2019–2021"
"56-65",12.8699489591704,12.3789473684211,11.8736842105263,0.431906167949066,0.471188026929014,0.0859340534496453,0.992380134653474,3.47987671459298,"2022–2024"
"66+",14.3264536728115,13.6421052631579,11.3684210526316,0.305729130897647,0.494781267725191,0.182719227428489,0.983596954595189,3.60301864676193,"2007–2009"
"66+",14.1461721342167,13.6421052631579,11.3684210526316,0.317330471583606,0.499720461817195,0.164619204714578,0.982275348105189,3.58092341691348,"2010–2012"
"66+",13.9961938229013,13.3894736842105,11.3684210526316,0.33196033330869,0.497279657278478,0.154879087450474,0.985568250251811,3.59539596386272,"2013–2015"
"66+",14.0560308200426,13.3894736842105,11.6210526315789,0.317181898610577,0.516795575733629,0.152996187420801,0.98786407384447,3.49288340574409,"2016–2018"
"66+",14.2140919560421,13.6421052631579,11.3684210526316,0.30647710153306,0.502018629371955,0.175339925406743,0.9848460262948,3.61439079079063,"2019–2021"
"66+",14.1393777973176,13.6421052631579,11.6210526315789,0.315423089686263,0.501473254916886,0.16907228507376,0.987199026527035,3.59528166741551,"2022–2024"
