"AgeGroup","YearBin","mean_hours_away_grid","share_no_travel_grid"
"10-17","2007–2009",7.45173327843117,0
"10-17","2010–2012",7.10243183492999,0
"10-17","2013–2015",7.14818414774233,0
"10-17","2016–2018",7.43720141778394,0
"10-17","2019–2021",6.58162612035851,0
"10-17","2022–2024",6.81223835609885,0
"18-30","2007–2009",6.77714927478668,0
"18-30","2010–2012",6.40034008714733,0
"18-30","2013–2015",6.16273126072859,0
"18-30","2016–2018",6.32426500111533,0
"18-30","2019–2021",5.24929252941995,0
"18-30","2022–2024",5.47020929051677,0
"31-55","2007–2009",6.44758495346148,0
"31-55","2010–2012",6.21511267521145,0
"31-55","2013–2015",6.17227983274762,0
"31-55","2016–2018",6.46625706237955,0
"31-55","2019–2021",5.32380779930534,0
"31-55","2022–2024",5.46535175846256,0
"56-65","2007–2009",4.34036316260891,0
"56-65","2010–2012",4.33189030977757,0
"56-65","2013–2015",4.30973773045962,0
"56-65","2016–2018",5.11199705593719,0
"56-65","2019–2021",4.49948638468886,0
"56-65","2022–2024",4.49895224440278,0
"66+","2007–2009",2.10909833939785,0
"66+","2010–2012",1.86645556549873,0
"66+","2013–2015",1.86460285881852,0
"66+","2016–2018",2.09011643084634,0
"66+","2019–2021",1.72838466913034,0
"66+","2022–2024",1.93856225166722,0
