"AgeGroup","x_start","y_start","x_end","y_end","dx","dy","period_transition","angle_deg","segment_length"
"10-17",0.26322047059695,3.17813332071867,0.252489472461273,3.27045034805072,-0.0107309981356765,0.0923170273320499,"Baseline (2007-2009) -> 2010-2012",96.6303468897572,0.0929386241366546
"18-30",0.251420996922721,3.99109614946818,0.250150170251541,4.3102773531251,-0.00127082667118,0.319181203656925,"Baseline (2007-2009) -> 2010-2012",90.228123144986,0.31918373355845
"31-55",0.244201668243156,5.06035433243404,0.250691704225981,5.00704027377322,0.00649003598282505,-0.0533140586608196,"Baseline (2007-2009) -> 2010-2012",-83.0594096245653,0.0537076290479079
"56-65",0.17173849746767,4.48475210356037,0.174350341614947,4.18379349182259,0.0026118441472775,-0.300958611737779,"Baseline (2007-2009) -> 2010-2012",-89.5027758508357,0.300969944859916
"66+",0.0762956290601721,4.24461452247376,0.0695067086309775,3.82426968534498,-0.00678892042919464,-0.420344837128775,"Baseline (2007-2009) -> 2010-2012",-90.9252942763657,0.420399656923517
"10-17",0.252489472461273,3.27045034805072,0.255704567138632,2.46758642819766,0.00321509467735898,-0.80286391985306,"2010-2012 -> 2013-2015",-89.7705584140554,0.80287035730285
"18-30",0.250150170251541,4.3102773531251,0.238947235305903,3.7341297202785,-0.011202934945638,-0.5761476328466,"2010-2012 -> 2013-2015",-91.1139506194083,0.576256540601611
"31-55",0.250691704225981,5.00704027377322,0.245490967779989,4.34642218563485,-0.00520073644599203,-0.66061808813837,"2010-2012 -> 2013-2015",-90.4510534881585,0.660638559300905
"56-65",0.174350341614947,4.18379349182259,0.167552745886634,6.00854767789082,-0.00679759572831301,1.82475418606823,"2010-2012 -> 2013-2015",90.2134379235603,1.82476684726603
"66+",0.0695067086309775,3.82426968534498,0.0736784643484972,3.96336578587315,0.0041717557175197,0.13909610052817,"2010-2012 -> 2013-2015",88.2821059320817,0.139158645897082
"10-17",0.255704567138632,2.46758642819766,0.273208326437927,3.30064207434009,0.017503759299295,0.83305564614243,"2013-2015 -> 2016-2018",88.7963061165914,0.833239516081294
"18-30",0.238947235305903,3.7341297202785,0.250419236989544,3.97003448731962,0.011472001683641,0.23590476704112,"2013-2015 -> 2016-2018",87.2159109665074,0.236183542896948
"31-55",0.245490967779989,4.34642218563485,0.254503472730366,5.14649479055422,0.009012504950377,0.80007260491937,"2013-2015 -> 2016-2018",89.3546127518266,0.80012336448072
"56-65",0.167552745886634,6.00854767789082,0.202315668545428,5.18306969700332,0.034762922658794,-0.8254779808875,"2013-2015 -> 2016-2018",-87.5885576501691,0.826209633036244
"66+",0.0736784643484972,3.96336578587315,0.0831132459692741,4.77223205067647,0.00943478162077689,0.80886626480332,"2013-2015 -> 2016-2018",89.3317206102343,0.808921287543545
"10-17",0.273208326437927,3.30064207434009,0.23023586352097,4.07526304736458,-0.042972462916957,0.77462097302449,"2016-2018 -> 2019-2021",93.1752556809404,0.775812016160202
"18-30",0.250419236989544,3.97003448731962,0.206809596360854,3.94701567691811,-0.04360964062869,-0.0230188104015099,"2016-2018 -> 2019-2021",-152.173220441796,0.0493119294701003
"31-55",0.254503472730366,5.14649479055422,0.206952868414851,5.10974551155145,-0.047550604315515,-0.0367492790027697,"2016-2018 -> 2019-2021",-142.301512042538,0.0600963349797147
"56-65",0.202315668545428,5.18306969700332,0.174391720031128,4.94643247071638,-0.0279239485143,-0.236637226286939,"2016-2018 -> 2019-2021",-96.7299624489876,0.238279087973337
"66+",0.0831132459692741,4.77223205067647,0.0688555368405429,4.77473062297755,-0.0142577091287312,0.00249857230108042,"2016-2018 -> 2019-2021",170.060212441449,0.0144749830101189
"10-17",0.23023586352097,4.07526304736458,0.242447017418921,3.8394714469236,0.012211153897951,-0.23579160044098,"2019-2021 -> 2022-2024",-87.0354198257914,0.236107583779171
"18-30",0.206809596360854,3.94701567691811,0.212559399095013,4.39809962390738,0.00574980273415901,0.45108394698927,"2019-2021 -> 2022-2024",89.2697111223787,0.451120590821235
"31-55",0.206952868414851,5.10974551155145,0.217738556882867,5.21448494826961,0.010785688468016,0.10473943671816,"2019-2021 -> 2022-2024",84.1206113032058,0.105293307858413
"56-65",0.174391720031128,4.94643247071638,0.174277957477491,4.28829022684704,-0.000113762553636987,-0.658142243869341,"2019-2021 -> 2022-2024",-90.009903807552,0.6581422537015
"66+",0.0688555368405429,4.77473062297755,0.0775124890719735,3.68099082451943,0.00865695223143061,-1.09373979845812,"2019-2021 -> 2022-2024",-89.5465132844442,1.09377405781685
