"AgeGroup","YearBin","total_mass","share_away_time","share_home_time","mean_dist"
"10-17","2007–2009",1,0.266725665348809,0.733274334651191,0.727812096496647
"10-17","2010–2012",1,0.249437300857061,0.750562699142939,0.710416944365051
"10-17","2013–2015",1,0.253913509190114,0.746086490809886,0.6291592628316
"10-17","2016–2018",1,0.269610540197587,0.730389459802413,0.737182657658236
"10-17","2019–2021",1,0.230807313046381,0.769192686953619,0.611163767771026
"10-17","2022–2024",1,0.243438965314592,0.756561034685408,0.74326237400114
"18-30","2007–2009",1,0.261917917274945,0.738082082725055,1.13930317497318
"18-30","2010–2012",1,0.244559134844201,0.755440865155799,1.11345518897362
"18-30","2013–2015",1,0.235791768500815,0.764208231499185,0.953657440048439
"18-30","2016–2018",1,0.24256232774999,0.75743767225001,1.00063848180244
"18-30","2019–2021",1,0.2070794387537,0.7929205612463,0.859117642409071
"18-30","2022–2024",1,0.211131851386651,0.788868148613349,0.961441532458591
"31-55","2007–2009",1,0.247454096520791,0.752545903479209,1.31133627731267
"31-55","2010–2012",1,0.248524193826958,0.751475806173042,1.33850179046458
"31-55","2013–2015",1,0.243375502532484,0.756624497467516,1.28200520367508
"31-55","2016–2018",1,0.252542351211142,0.747457648788858,1.43454602408908
"31-55","2019–2021",1,0.207420656690342,0.792579343309658,1.07004957626141
"31-55","2022–2024",1,0.216131725849407,0.783868274150593,1.13362463479258
"56-65","2007–2009",1,0.167249158197026,0.832750841802974,0.751547996700889
"56-65","2010–2012",1,0.167774692230639,0.832225307769361,0.695708788870522
"56-65","2013–2015",1,0.166271171768777,0.833728828231223,0.73453315090409
"56-65","2016–2018",1,0.194898429183416,0.805101570816584,0.923918699679317
"56-65","2019–2021",1,0.180619475377049,0.819380524622951,0.82188422741638
"56-65","2022–2024",1,0.174212344469852,0.825787655530148,0.807676542751895
"66+","2007–2009",1,0.0771502431500165,0.922849756849983,0.334848095353796
"66+","2010–2012",1,0.0692478501690287,0.930752149830971,0.277409189627671
"66+","2013–2015",1,0.0709977268359437,0.929002273164056,0.310096541947198
"66+","2016–2018",1,0.080707225047997,0.919292774952003,0.374929547311962
"66+","2019–2021",1,0.0693023830626552,0.930697616937345,0.352504642507868
"66+","2022–2024",1,0.0748506393903822,0.925149360609618,0.301917894462234
