"SessionId","AgeGroup","Age","Year","TimeMSM","r_rad_km","d_cum_km","is_away","time_away_pct"
59319,"66+",72,2007,0,0,0,0,0
59319,"66+",72,2007,15,0,0,0,0
59319,"66+",72,2007,30,0,0,0,0
59319,"66+",72,2007,45,0,0,0,0
59319,"66+",72,2007,60,0,0,0,0
59319,"66+",72,2007,75,0,0,0,0
59319,"66+",72,2007,90,0,0,0,0
59319,"66+",72,2007,105,0,0,0,0
59319,"66+",72,2007,120,0,0,0,0
59319,"66+",72,2007,135,0,0,0,0
59319,"66+",72,2007,150,0,0,0,0
59319,"66+",72,2007,165,0,0,0,0
59319,"66+",72,2007,180,0,0,0,0
59319,"66+",72,2007,195,0,0,0,0
59319,"66+",72,2007,210,0,0,0,0
59319,"66+",72,2007,225,0,0,0,0
59319,"66+",72,2007,240,0,0,0,0
59319,"66+",72,2007,255,0,0,0,0
59319,"66+",72,2007,270,0,0,0,0
59319,"66+",72,2007,285,0,0,0,0
59319,"66+",72,2007,300,0,0,0,0
59319,"66+",72,2007,315,0,0,0,0
59319,"66+",72,2007,330,0,0,0,0
59319,"66+",72,2007,345,0,0,0,0
59319,"66+",72,2007,360,0,0,0,0
59319,"66+",72,2007,375,0,0,0,0
59319,"66+",72,2007,390,0,0,0,0
59319,"66+",72,2007,405,0,0,0,0
59319,"66+",72,2007,420,0,0,0,0
59319,"66+",72,2007,435,0,0,0,0
59319,"66+",72,2007,450,0,0,0,0
59319,"66+",72,2007,465,0,0,0,0
59319,"66+",72,2007,480,0,0,0,0
59319,"66+",72,2007,495,0,0,0,0
59319,"66+",72,2007,510,0,0,0,0
59319,"66+",72,2007,525,0,0,0,0
59319,"66+",72,2007,540,0,0,0,0
59319,"66+",72,2007,555,0,0,0,0
59319,"66+",72,2007,570,0,0,0,0
59319,"66+",72,2007,585,0,0,0,0
59319,"66+",72,2007,600,0,0,0,0
59319,"66+",72,2007,615,0,0,0,0
59319,"66+",72,2007,630,0,0,0,0
59319,"66+",72,2007,645,0,0,0,0
59319,"66+",72,2007,660,0,0,0,0
59319,"66+",72,2007,675,0,0,0,0
59319,"66+",72,2007,690,0,0,0,0
59319,"66+",72,2007,705,0,0,0,0
59319,"66+",72,2007,720,0,0,0,0
59319,"66+",72,2007,735,0,0,0,0
59319,"66+",72,2007,750,0,0,0,0
59319,"66+",72,2007,765,0,0,0,0
59319,"66+",72,2007,780,0,0,0,0
59319,"66+",72,2007,795,0,0,0,0
59319,"66+",72,2007,810,0,0,0,0
59319,"66+",72,2007,825,0,0,0,0
59319,"66+",72,2007,840,0,0,0,0
59319,"66+",72,2007,855,0,0,0,0
59319,"66+",72,2007,870,0,0,0,0
59319,"66+",72,2007,885,0,0,0,0
59319,"66+",72,2007,900,0,0,0,0
59319,"66+",72,2007,915,0,0,0,0
59319,"66+",72,2007,930,0,0,0,0
59319,"66+",72,2007,945,0,0,0,0
59319,"66+",72,2007,960,0,0,0,0
59319,"66+",72,2007,975,0,0,0,0
59319,"66+",72,2007,990,0,0,0,0
59319,"66+",72,2007,1005,0,0,0,0
59319,"66+",72,2007,1020,0,0,0,0
59319,"66+",72,2007,1035,0,0,0,0
59319,"66+",72,2007,1050,0,0,0,0
59319,"66+",72,2007,1065,0,0,0,0
59319,"66+",72,2007,1080,0,0,0,0
59319,"66+",72,2007,1095,0,0,0,0
59319,"66+",72,2007,1110,0,0,0,0
59319,"66+",72,2007,1125,0,0,0,0
59319,"66+",72,2007,1140,0,0,0,0
59319,"66+",72,2007,1155,0,0,0,0
59319,"66+",72,2007,1170,0,0,0,0
59319,"66+",72,2007,1185,0,0,0,0
59319,"66+",72,2007,1200,0,0,0,0
59319,"66+",72,2007,1215,0,0,0,0
59319,"66+",72,2007,1230,0,0,0,0
59319,"66+",72,2007,1245,0,0,0,0
59319,"66+",72,2007,1260,0,0,0,0
59319,"66+",72,2007,1275,0,0,0,0
59319,"66+",72,2007,1290,0,0,0,0
59319,"66+",72,2007,1305,0,0,0,0
59319,"66+",72,2007,1320,0,0,0,0
59319,"66+",72,2007,1335,0,0,0,0
59319,"66+",72,2007,1350,0,0,0,0
59319,"66+",72,2007,1365,0,0,0,0
59319,"66+",72,2007,1380,0,0,0,0
59319,"66+",72,2007,1395,0,0,0,0
59319,"66+",72,2007,1410,0,0,0,0
59319,"66+",72,2007,1425,0,0,0,0
59320,"66+",73,2007,0,0,0,0,0
59320,"66+",73,2007,15,0,0,0,0
59320,"66+",73,2007,30,0,0,0,0
59320,"66+",73,2007,45,0,0,0,0
59320,"66+",73,2007,60,0,0,0,0
