"AgeGroup","Period","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","fraction_away_baseline","mean_distance_baseline","mean_distance_active_baseline","volume_baseline","dist_p90_baseline","var_distance_baseline","change_fraction_away","change_mean_distance_active","change_volume","pct_change_volume","pct_change_distance"
"10-17","2007–2009",0.276819258091667,1.03650707813927,3.75606260300081,24.8761698753426,6.71745330991773,0.785395925988593,0.269673126920426,1.07927346407766,4.07180869091549,25.9025631378638,8.70560719656336,0.866213405785669,0.00714613117124058,-0.315746087914679,-1.02639326252117,-3.96251620759805,-7.75444309599153
"10-17","2010–2012",0.266807175344629,1.08526812296746,4.04710111869134,26.0464349512191,10.46238217567,0.733265381485266,0.269673126920426,1.07927346407766,4.07180869091549,25.9025631378638,8.70560719656336,0.866213405785669,-0.00286595157579789,-0.0247075722241501,0.143871813355386,0.555434659456836,-0.60679599901819
"10-17","2013–2015",0.27253552580487,0.972265345557525,3.6277317740406,23.3343682933806,5.99798485701858,0.735735298262182,0.269673126920426,1.07927346407766,4.07180869091549,25.9025631378638,8.70560719656336,0.866213405785669,0.00286239888444317,-0.444076916874884,-2.56819484448315,-9.91482901060483,-10.9061341183748
"10-17","2016–2018",0.288492571676757,1.20758199430176,4.28227054623437,28.9819678632423,7.37565973492813,1.31115256671624,0.269673126920426,1.07927346407766,4.07180869091549,25.9025631378638,8.70560719656336,0.866213405785669,0.0188194447563308,0.21046185531888,3.07940472537857,11.8884170226273,5.16875598277583
"10-17","2019–2021",0.249241741379291,1.00110197859112,4.11935002581031,24.0264474861869,8.55290690625467,0.771530261077236,0.269673126920426,1.07927346407766,4.07180869091549,25.9025631378638,8.70560719656336,0.866213405785669,-0.0204313855411357,0.0475413348948246,-1.87611565167682,-7.24297298955084,1.16757290196106
"10-17","2022–2024",0.264142489225345,1.17291626490879,4.5983360777155,28.1499903578109,13.127256195591,0.860201001184498,0.269673126920426,1.07927346407766,4.07180869091549,25.9025631378638,8.70560719656336,0.866213405785669,-0.00553063769508116,0.52652738680001,2.24742721994717,8.67646652566957,12.9310443286477
"18-30","2007–2009",0.301387075197937,2.66985942730884,8.93705175367242,64.0766262554123,9.82966364569634,4.95164355182762,0.281334101553449,2.61377655390044,9.39652163080628,62.7306372936106,10.406808436288,5.1313191439848,0.0200529736444884,-0.459469877133859,1.34598896180171,2.14566441514345,-4.88978682949548
"18-30","2010–2012",0.285323646387664,2.46275410074911,8.73233112965865,59.1060984179787,9.18026267279133,4.58643848489894,0.281334101553449,2.61377655390044,9.39652163080628,62.7306372936106,10.406808436288,5.1313191439848,0.00398954483421565,-0.66419050114763,-3.62453887563187,-5.77794046419013,-7.0684720074511
"18-30","2013–2015",0.28721526651241,2.63672948335813,9.24425889829264,63.2815076005951,10.1245993391208,5.34377963993828,0.281334101553449,2.61377655390044,9.39652163080628,62.7306372936106,10.406808436288,5.1313191439848,0.00588116495896124,-0.152262732513641,0.550870306984592,0.878151937794359,-1.62041592087067
"18-30","2016–2018",0.28979124602303,2.67878877431083,9.32303353209945,64.2909305834599,11.3652170823896,5.09360160597953,0.281334101553449,2.61377655390044,9.39652163080628,62.7306372936106,10.406808436288,5.1313191439848,0.00845714446958107,-0.0734880987068305,1.5602932898493,2.48729067193491,-0.782077683574967
