"AgeGroup","hour_base","hour_end","hour_shift","hour_shift_median","hour_shift_lo","hour_shift_hi"
"10-17",12.7837,12.6988,-0.085,-0.0877,-0.2012,0.0405
"18-30",13.4095,13.1958,-0.2137,-0.2093,-0.3384,-0.0763
"31-55",12.7822,12.6337,-0.1485,-0.1501,-0.2131,-0.0738
"56-65",12.722,12.5033,-0.2187,-0.2213,-0.3416,-0.0812
"66+",13.8982,13.7479,-0.1503,-0.1595,-0.3432,0.065
