"AgeGroup","kde_pct","boot_median_pct","boot_lo","boot_hi"
"10-17",2.3,0.8,-11.42,12.63
"18-30",22.58,10.03,-6.16,29.31
"31-55",6.97,8.93,-3.18,20.89
"56-65",-4.28,1.16,-19.52,24.2
"66+",4.5,-5.88,-17.75,7.19
