"AgeGroup","x_start","y_start","x_end","y_end","dx","dy","period_transition","angle_deg","segment_length"
"10-17",0.283459810641468,5.2006314748245,0.279554406371081,5.47372634090997,-0.00390540427038705,0.27309486608547,"2007-2009 -> 2010-2012",90.8193047839608,0.273122789354451
"18-30",0.282649620925777,10.2704339103381,0.273211773642092,10.6125355889143,-0.00943784728368502,0.342101678576199,"2007-2009 -> 2010-2012",91.5802661241041,0.342231838738016
"31-55",0.273811468863706,11.0473579546547,0.273281750440587,11.9141461296713,-0.000529718423118997,0.8667881750166,"2007-2009 -> 2010-2012",90.0350150441266,0.866788336879434
"56-65",0.188960532096918,10.4973854010956,0.198639583602024,11.4334279319887,0.00967905150510601,0.936042530893099,"2007-2009 -> 2010-2012",89.4075600003621,0.936092572173712
"66+",0.0808499135703511,8.43243595397505,0.0790313510814077,9.60385222994456,-0.0018185624889434,1.17141627596951,"2007-2009 -> 2010-2012",90.088948628961,1.17141768758022
"10-17",0.279554406371081,5.47372634090997,0.284693168760997,5.81848413283826,0.00513876238991601,0.34475779192829,"2010-2012 -> 2013-2015",89.1460451307339,0.344796087527354
"18-30",0.273211773642092,10.6125355889143,0.277198023161993,10.8711031685702,0.00398624951990101,0.258567579655899,"2010-2012 -> 2013-2015",89.1167601833283,0.25859830516526
"31-55",0.273281750440587,11.9141461296713,0.273508339866402,12.1010968768584,0.000226589425814994,0.186950747187099,"2010-2012 -> 2013-2015",89.9305559800127,0.186950884503344
"56-65",0.198639583602024,11.4334279319887,0.19854048974016,12.6985108332512,-9.90938618639914e-05,1.2650829012625,"2010-2012 -> 2013-2015",90.0044879746957,1.26508290514351
"66+",0.0790313510814077,9.60385222994456,0.0812825533738097,10.2232527349033,0.002251202292402,0.61940050495874,"2010-2012 -> 2013-2015",89.7917602242531,0.619404595926527
"10-17",0.284693168760997,5.81848413283826,0.297900977699978,5.58474185550199,0.013207808938981,-0.23374227733627,"2013-2015 -> 2016-2018",-86.7658917209906,0.23411513926125
"18-30",0.277198023161993,10.8711031685702,0.276949938516564,11.0858929558628,-0.00024808464542897,0.214789787292601,"2013-2015 -> 2016-2018",90.0661772470816,0.214789930562845
"31-55",0.273508339866402,12.1010968768584,0.279871831539279,12.4180839382652,0.00636349167287703,0.316987061406801,"2013-2015 -> 2016-2018",88.8499459642705,0.317050928283753
"56-65",0.19854048974016,12.6985108332512,0.224829446469967,12.0882952940532,0.026288956729807,-0.610215539198,"2013-2015 -> 2016-2018",-87.5331414246374,0.610781559581368
"66+",0.0812825533738097,10.2232527349033,0.088340545830156,11.1595922811361,0.00705799245634631,0.9363395462328,"2013-2015 -> 2016-2018",89.5681208570507,0.936366146919547
"10-17",0.297900977699978,5.58474185550199,0.25570613078129,5.63793443050328,-0.042194846918688,0.0531925750012894,"2016-2018 -> 2019-2021",128.423101609277,0.0678959140284547
"18-30",0.276949938516564,11.0858929558628,0.247987652219253,10.9075840095604,-0.028962286297311,-0.178308946302399,"2016-2018 -> 2019-2021",-99.2258422275666,0.180645770387904
"31-55",0.279871831539279,12.4180839382652,0.246976393715538,12.356176189048,-0.032895437823741,-0.0619077492172,"2016-2018 -> 2019-2021",-117.984487769304,0.0701047733236143
"56-65",0.224829446469967,12.0882952940532,0.21412873665117,12.2644369105236,-0.010700709818797,0.176141616470399,"2016-2018 -> 2019-2021",93.4764806791443,0.176466354423248
"66+",0.088340545830156,11.1595922811361,0.0794557844297616,10.9004761209757,-0.0088847614003944,-0.259116160160399,"2016-2018 -> 2019-2021",-91.9638295327002,0.259268438961266
"10-17",0.25570613078129,5.63793443050328,0.274158590210043,6.38461122998321,0.018452459428753,0.74667679947993,"2019-2021 -> 2022-2024",88.5843501519834,0.746904770463117
"18-30",0.247987652219253,10.9075840095604,0.257621911458464,11.1994736559157,0.00963425923921102,0.291889646355299,"2019-2021 -> 2022-2024",88.1095524456046,0.292048599723591
"31-55",0.246976393715538,12.356176189048,0.250958159724991,13.13577213075,0.00398176600945302,0.779595941702,"2019-2021 -> 2022-2024",89.7073658398967,0.779606110018888
"56-65",0.21412873665117,12.2644369105236,0.223220728510559,13.304947456923,0.009091991859389,1.0405105463994,"2019-2021 -> 2022-2024",89.4993616306042,1.04055026860039
"66+",0.0794557844297616,10.9004761209757,0.0831007969037659,9.40390701100857,0.0036450124740043,-1.49656910996713,"2019-2021 -> 2022-2024",-89.8604518717602,1.49657354881868
