"AgeGroup","YearBin","total_mass","share_away_time","share_home_time","mean_dist"
"10-17","2007–2009",1,0.263203991035326,0.736796008964674,0.825042056191205
"10-17","2010–2012",1,0.253963098220402,0.746036901779598,0.828303244372981
"10-17","2013–2015",1,0.252296509491205,0.747703490508795,0.7251038037682
"10-17","2016–2018",1,0.266997957115163,0.733002042884837,0.78967696396964
"10-17","2019–2021",1,0.229611579169206,0.770388420830794,0.683894958739144
"10-17","2022–2024",1,0.24078910607058,0.75921089392942,0.820464983342685
"18-30","2007–2009",1,0.240185834072209,0.759814165927791,1.18933307418797
"18-30","2010–2012",1,0.230470668147713,0.769529331852287,1.18419928131658
"18-30","2013–2015",1,0.214586759015429,0.785413240984571,1.03634879436741
"18-30","2016–2018",1,0.223613022120268,0.776386977879732,1.16682678392491
"18-30","2019–2021",1,0.201190097401316,0.798809902598684,0.961017133117863
"18-30","2022–2024",1,0.198062251932298,0.801937748067702,0.916754799298033
"31-55","2007–2009",1,0.22931715319971,0.77068284680029,1.37582319996914
"31-55","2010–2012",1,0.225531529223195,0.774468470776804,1.36758302845573
"31-55","2013–2015",1,0.220702469314407,0.779297530685593,1.33061050588697
"31-55","2016–2018",1,0.233146107290911,0.766853892709089,1.52354774497718
"31-55","2019–2021",1,0.188380212502202,0.811619787497798,1.1109077310458
"31-55","2022–2024",1,0.196213822118238,0.803786177881762,1.17974991011533
"56-65","2007–2009",1,0.136832614153401,0.863167385846599,0.629671610278941
"56-65","2010–2012",1,0.136784077719308,0.863215922280692,0.600883733209209
"56-65","2013–2015",1,0.137960460149727,0.862039539850273,0.668278104599612
"56-65","2016–2018",1,0.169030304045196,0.830969695954804,0.872682231918291
"56-65","2019–2021",1,0.149223924047649,0.850776075952351,0.782768165610137
"56-65","2022–2024",1,0.155227229246199,0.844772770753801,0.754534644497304
"66+","2007–2009",1,0.0641595433818087,0.935840456618191,0.278058442958034
"66+","2010–2012",1,0.0603806451472458,0.939619354852754,0.257707871921184
"66+","2013–2015",1,0.0632820615741035,0.936717938425897,0.287279104026012
"66+","2016–2018",1,0.0689235343620918,0.931076465637908,0.349291374560201
"66+","2019–2021",1,0.0609828944132489,0.939017105586751,0.308284925869626
"66+","2022–2024",1,0.0651000969902571,0.934899903009743,0.320150916426085
