"AgeGroup","dx_endpoint","dy_endpoint","mag_endpoint","angle_endpoint","dx_trajectory","dy_trajectory","mag_trajectory","angle_trajectory","dx_diff","dy_diff","mag_diff","angle_diff","dx_pct_diff","dy_pct_diff"
"10-17",-0.01638474287224,0.63175046089338,0.631962898149873,91.4856597171306,-0.00327694857444801,0.126350092178676,0.126392579629975,91.4856597171306,0.013107794297792,-0.505400368714704,-0.505570318519899,0,80,-80
"18-30",-0.0310397178279095,0.256288934190064,0.258161735877173,96.9055851431408,-0.0062079435655819,0.0512577868380129,0.0516323471754347,96.9055851431408,0.0248317742623276,-0.205031147352052,-0.206529388701739,0,80,-80
"31-55",-0.026219028952339,0.449584894150185,0.450348769874235,93.3376123994318,-0.0052438057904678,0.089916978830037,0.0900697539748469,93.3376123994318,0.0209752231618712,-0.359667915320148,-0.360279015899388,0,80,-80
"56-65",0.013056038056042,0.4510912844159,0.45128018680827,88.3421380022372,0.0026112076112084,0.0902182568831799,0.090256037361654,88.3421380022372,-0.0104448304448336,-0.36087302753272,-0.361024149446616,0,-80,-80
"66+",0.00111792731028976,0.338996177265895,0.338998020587674,89.8110530773375,0.000223585462057951,0.067799235453179,0.0677996041175349,89.8110530773375,-0.000894341848231806,-0.271196941812716,-0.271198416470139,0,-80,-80
