"AgeGroup","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","Period"
"10-17",0.279245514077476,1.55408253129869,5.6833549107602,37.2979807511687,12.6437365957377,1.92265059633112,"Baseline (2007-2009)"
"18-30",0.269269819987357,2.88718163714855,10.8245038815269,69.2923592915652,11.9550107380253,6.46012158994756,"Baseline (2007-2009)"
"31-55",0.266401324025084,3.19650270275179,12.1621055365413,76.716064866043,14.0070006486564,9.92588676303645,"Baseline (2007-2009)"
"56-65",0.208053252845133,2.49322483816972,12.0478339713059,59.8373961160733,14.7450291583895,5.27512333770289,"Baseline (2007-2009)"
"66+",0.082010157531542,0.812849249032807,9.95391938865722,19.5083819767874,13.1136085140001,0.578745409255567,"Baseline (2007-2009)"
"10-17",0.283459810641468,1.46196039177728,5.2006314748245,35.0870494026547,7.52418832765896,1.67522117845298,"2007–2009"
"10-17",0.279554406371081,1.52296354294861,5.47372634090997,36.5511250307666,8.92224087945994,1.68215104087239,"2010–2012"
"10-17",0.284693168760997,1.63123288552983,5.81848413283826,39.1495892527159,9.81000100126425,2.02768170006642,"2013–2015"
"10-17",0.297900977699978,1.62407739498461,5.58474185550199,38.9778574796307,24.5999930140309,2.2914924193136,"2016–2018"
"10-17",0.25570613078129,1.38263068634229,5.63793443050328,33.1831364722151,10.3331856329594,1.76698351899338,"2019–2021"
"10-17",0.274158590210043,1.70163028620954,6.38461122998321,40.8391268690289,14.6728107190525,2.09237372028796,"2022–2024"
"18-30",0.282649620925777,2.87956370885904,10.2704339103381,69.109529012617,12.9,6.06453188944991,"2007–2009"
"18-30",0.273211773642092,2.867710258477,10.6125355889143,68.8250462034481,11.0422524880407,6.06529206601307,"2010–2012"
"18-30",0.277198023161993,2.9885414751869,10.8711031685702,71.7249954044857,11.6141778597567,7.03378473519338,"2013–2015"
"18-30",0.276949938516564,3.03622860155861,11.0858929558628,72.8694864374065,11.6575362800846,6.95075740081996,"2016–2018"
"18-30",0.247987652219253,2.68875863552861,10.9075840095604,64.5302072526866,12.4060988126455,6.01776151220845,"2019–2021"
"18-30",0.257621911458464,2.86228714328115,11.1994736559157,68.6948914387475,12.109998987624,6.62860193600059,"2022–2024"
"31-55",0.273811468863706,2.99288447938042,11.0473579546547,71.82922750513,11.4163386416487,8.62656009684816,"2007–2009"
"31-55",0.273281750440587,3.21778045766307,11.9141461296713,77.2267309839138,18.6824740403209,9.9203144038941,"2010–2012"
"31-55",0.273508339866402,3.26780282940993,12.1010968768584,78.4272679058384,12.6095558144825,10.2016858514676,"2013–2015"
"31-55",0.279871831539279,3.42555711844044,12.4180839382652,82.2133708425706,13.1682499880436,11.0219272005999,"2016–2018"
"31-55",0.246976393715538,3.017068393007,12.356176189048,72.4096414321679,14.3391927991502,9.01841843112182,"2019–2021"
"31-55",0.250958159724991,3.25792293860988,13.13577213075,78.1901505266371,13.8261926082928,10.7664145942871,"2022–2024"
"56-65",0.188960532096918,1.96916618002816,10.4973854010956,47.2599883206757,11.690146336343,3.27876183890131,"2007–2009"
"56-65",0.198639583602024,2.25305770554451,11.4334279319887,54.0733849330682,12.2645175197436,4.4623764192981,"2010–2012"
"56-65",0.19854048974016,2.51157133696064,12.6985108332512,60.2777120870555,16.8222729024159,4.68057205291579,"2013–2015"
"56-65",0.224829446469967,2.68611548884234,12.0882952940532,64.4667717322161,13.9981429449236,5.82015585208323,"2016–2018"
"56-65",0.21412873665117,2.60412964444573,12.2644369105236,62.4991114666975,13.1016138834467,5.60687941647691,"2019–2021"
"56-65",0.223220728510559,2.93530867319695,13.304947456923,70.4474081567268,20.5934813634641,7.80199444654198,"2022–2024"
"66+",0.0808499135703511,0.681216517893883,8.43243595397505,16.3491964294532,11.0622266429432,0.401980348289852,"2007–2009"
"66+",0.0790313510814077,0.760563706780038,9.60385222994456,18.2535289627209,12.8268251339122,0.483900908154962,"2010–2012"
"66+",0.0812825533738097,0.815555539276114,10.2232527349033,19.5733329426267,14.1094187145007,0.582856927345407,"2013–2015"
"66+",0.088340545830156,0.977301603912205,11.1595922811361,23.4552384938929,14.6463698089114,0.878290683988795,"2016–2018"
"66+",0.0794557844297616,0.864711364415517,10.9004761209757,20.7530727459724,13.3312803747067,0.638520416690939,"2019–2021"
"66+",0.0831007969037659,0.777746761919084,9.40390701100857,18.665922286058,12.7055304090261,0.486923171063448,"2022–2024"
