"AgeGroup","distance_interpretation","time_interpretation","overall_trend","magnitude"
"10-17","EXPANDING: +0.7 km (+12.3%)","-1.8% less time away","Traveling further, similar time",0.70127476929135
"18-30","STABLE: 0.37 km (+3.5%)","-4.3% less time away","Relatively stable",0.375150643713009
"31-55","STABLE: 0.97 km (+8%)","-5.8% less time away","Relatively stable",0.973789057240616
"56-65","EXPANDING: +1.26 km (+10.4%)","+7.3% more time away","Expanding both space & time",1.25720498250621
"66+","STABLE: -0.55 km (-5.5%)","+1.3% more time away","Relatively stable",0.550013458981651
