"AgeGroup","kde_pct","kde_away_pct","boot_median_pct","boot_lo","boot_hi","away_median_pct","away_lo","away_hi"
"10-17",12.16,-3.45,11.73,1.53,21.62,-3.44,-6.72,-0.19
"18-30",3.62,-5.81,3.54,-3.27,11.26,-5.74,-9.25,-2.12
"31-55",8.35,-7.15,8.49,4,12.99,-7.04,-9.32,-4.69
"56-65",10.83,7.92,10.64,3.55,17.43,7.97,2.93,13.07
"66+",-3.69,0.7,-3.59,-13.31,5.61,0.94,-4.99,6.99
