"AgeGroup","hour_base","hour_end","hour_shift","hour_shift_median","hour_shift_lo","hour_shift_hi"
"10-17",12.9888,12.9007,-0.0881,-0.0972,-0.2296,0.0469
"18-30",13.7305,13.5211,-0.2095,-0.2098,-0.3344,-0.0743
"31-55",12.9408,12.7647,-0.1762,-0.1785,-0.2392,-0.1055
"56-65",13.2505,13.0257,-0.2248,-0.2258,-0.3744,-0.0878
"66+",14.2992,14.3607,0.0615,0.0592,-0.131,0.2898
