"AgeGroup","rule","pct","lo","hi","width","sd","excludes_zero","rank","n_eff_slices","n_ok"
"10-17","all",11.6735723084172,-11.4810479131352,24.9039470357984,36.3849949489336,9.63954267830245,FALSE,3,96,500
"18-30","all",6.57844022801055,-11.3243422105046,13.4888365759887,24.8131787864933,5.78085796610933,FALSE,5,96,500
"31-55","all",14.8348812973946,6.75069996569748,32.5473155705184,25.7966156048209,6.27555116272718,TRUE,1,96,500
"56-65","all",13.2320233506877,1.2038507508163,28.1299596727799,26.9261089219636,7.17257223997715,TRUE,2,96,500
"66+","all",7.13364202670225,-15.4693145760622,36.7543093527689,52.2236239288311,13.6822573636069,FALSE,4,96,500
"10-17","thr01",15.5422206220414,5.8353193800009,25.9312737392823,20.0959543592814,5.3493950008122,TRUE,1,69.1666666666667,500
"18-30","thr01",6.62150448314621,1.05252693503536,11.7791611996596,10.7266342646242,2.85693023921883,TRUE,4,75.3333333333333,500
"31-55","thr01",10.351743878826,6.08586674778859,14.7311254966616,8.645258748873,2.17266733209617,TRUE,3,77,500
"56-65","thr01",10.5304428425814,3.91765561042298,17.1373375947914,13.2196819843684,3.52163215727375,TRUE,2,76.6666666666667,500
"66+","thr01",5.12176694539196,-4.9887135126882,15.0179829231011,20.0066964357893,5.01992488068235,FALSE,5,72.8333333333333,500
"10-17","thr02",14.4185665589215,5.39105896796546,25.3990216652407,20.0079626972752,5.25503923058623,TRUE,1,67.5,500
"18-30","thr02",6.54372051825473,1.21791788860096,11.713587906853,10.4956700182521,2.7797040208413,TRUE,4,73.5,500
"31-55","thr02",9.66880046085759,5.52211906877695,13.8074909134195,8.2853718446426,2.06142949011079,TRUE,3,74.1666666666667,500
"56-65","thr02",10.2076904938747,3.73318073697633,16.6841635239716,12.9509827869952,3.42695669906193,TRUE,2,73.8333333333333,500
"66+","thr02",3.59883855377036,-6.28967702873231,13.7539224257017,20.043599454434,4.94757201217246,FALSE,5,70.6666666666667,500
"10-17","thr05",14.2450859441071,4.88123494653771,24.8211184606574,19.9398835141197,5.24882596783031,TRUE,1,65.3333333333333,500
"18-30","thr05",6.38328407252878,1.14042715664989,11.3898948239349,10.249467667285,2.72929591802278,TRUE,4,70.5,500
"31-55","thr05",8.38245182228953,4.68159579937379,12.5620442085508,7.88044840917699,2.00513563998572,TRUE,3,70.3333333333333,500
"56-65","thr05",9.74547849689278,3.38257794872482,16.3854989836256,13.0029210349008,3.32059035131206,TRUE,2,70.5,500
"66+","thr05",1.83954939736448,-7.73303627597336,11.6382319128115,19.3712681887849,4.7763044217625,FALSE,5,66.8333333333333,500
"10-17","thr10",9.0137449714183,0.730317800546534,17.7095633170098,16.9792455164632,4.40926472597621,TRUE,2,58,500
"18-30","thr10",6.122177758888,0.835324335767804,11.1640029204295,10.3286785846617,2.71410049626143,TRUE,4,68,500
"31-55","thr10",7.30476102501677,4.19777488335245,10.8633494625918,6.66557457923934,1.77534083201264,TRUE,3,63.3333333333333,500
"56-65","thr10",10.1461260346023,3.97823317879372,16.2020287471742,12.2237955683805,3.05354819407258,TRUE,1,64.5,500
"66+","thr10",0.775731810272688,-7.63627235613018,9.86351569007881,17.499788046209,4.47450319145638,FALSE,5,61.6666666666667,500
"10-17","thr20",5.31502074062045,-1.01959105271942,13.1668738917179,14.1864649444373,3.58930521082835,FALSE,4,51.1666666666667,500
"18-30","thr20",5.9027621959782,0.603662868250097,10.9138295532277,10.3101666849776,2.63984297502473,TRUE,3,60.5,500
"31-55","thr20",7.37171163374603,4.18870030940703,10.4844827340451,6.29578242463811,1.63675392589032,TRUE,2,54.3333333333333,500
"56-65","thr20",11.1819727897595,5.69571306025769,17.1291481156127,11.433435055355,2.90623554829501,TRUE,1,56.1666666666667,500
"66+","thr20",-0.0438641506258041,-7.00290230687119,8.11733245804558,15.1202347649168,3.95217413302018,FALSE,5,54.3333333333333,500
"10-17","fixed",5.61952141156545,-0.121798597016913,11.9133590103329,12.0351576073498,3.10167749554871,FALSE,4,45.9870912070376,500
"18-30","fixed",5.77088056769862,0.607566694248726,10.3853625693982,9.77779587514948,2.55188976842782,TRUE,3,55.1366170255138,500
"31-55","fixed",6.5989199582365,3.6579711384803,9.50366521550044,5.84569407702015,1.54423801331961,TRUE,2,50.381543558701,500
"56-65","fixed",12.9297920492132,7.33558213561579,18.6028364436487,11.2672543080329,2.85817798965136,TRUE,1,51.5951072072708,500
"66+","fixed",2.85777449476668,-4.14714183447486,10.9790553303195,15.1261971647944,3.80945909007765,FALSE,5,50.9510198772936,500
"10-17","marginal",4.70236675720118,-1.32068639088216,10.9571131862517,12.2777995771339,3.15738625520596,FALSE,4,45.9355201742388,500
"18-30","marginal",6.09883399770391,1.01272235531896,10.7320583741685,9.71933601884957,2.56708958098302,TRUE,3,55.0985032057315,500
"31-55","marginal",6.68317332308929,3.77057019461507,9.59139337017265,5.82082317555757,1.5422132769973,TRUE,2,50.3711490274906,500
"56-65","marginal",13.0520410316437,7.40894321618397,18.8717843413269,11.4628411251429,2.86947120719284,TRUE,1,51.5535872854646,500
"66+","marginal",2.77353673640756,-4.23993732498006,10.9200011042072,15.1599384291873,3.85330807779643,FALSE,5,50.8569860352465,500
