"AgeGroup","rule","base","end","drift","pct","n_eff_slices","frac_base","frac_end","frac_pct"
"10-17","all",6.12536588339345,6.8404148989465,0.715049015553054,11.6735723084172,96,0.278567681024807,0.269849613215733,-3.12960490499169
"10-17","thr01",6.64418763259112,7.67684193299082,1.0326543003997,15.5422206220414,69.1666666666667,0.278567681024807,0.269849613215733,-3.12960490499169
"10-17","thr02",6.60992071861602,7.56297653692161,0.953055818305593,14.4185665589215,67.5,0.278567681024807,0.269849613215733,-3.12960490499169
"10-17","thr05",6.53932887380658,7.47086189204814,0.931533018241558,14.2450859441071,65.3333333333333,0.278567681024807,0.269849613215733,-3.12960490499169
"10-17","thr10",6.16578234259835,6.72155023845291,0.555767895854556,9.0137449714183,58,0.278567681024807,0.269849613215733,-3.12960490499169
"10-17","thr20",5.78342714048198,6.09081749251727,0.30739035203529,5.31502074062045,51.1666666666667,0.278567681024807,0.269849613215733,-3.12960490499169
"10-17","fixed",5.54103297825398,5.85241251288887,0.311379534634885,5.61952141156545,45.9870912070376,0.278567681024807,0.269849613215733,-3.12960490499169
"10-17","marginal",5.54493496008124,5.80567813835252,0.260743178271286,4.70236675720118,45.9355201742388,0.278567681024807,0.269849613215733,-3.12960490499169
"18-30","all",9.92102634292619,10.5736751309008,0.652648787974581,6.57844022801055,96,0.286167801545385,0.267999189955618,-6.34893635540117
"18-30","thr01",11.3360881857671,12.086707773201,0.750619587433974,6.62150448314621,75.3333333333333,0.286167801545385,0.267999189955618,-6.34893635540117
"18-30","thr02",11.3290037495032,12.0703420923733,0.741338342870089,6.54372051825473,73.5,0.286167801545385,0.267999189955618,-6.34893635540117
"18-30","thr05",11.2855255642549,12.0059127200992,0.720387155844248,6.38328407252878,70.5,0.286167801545385,0.267999189955618,-6.34893635540117
"18-30","thr10",11.2341846990322,11.9219614560687,0.687776757036545,6.122177758888,68,0.286167801545385,0.267999189955618,-6.34893635540117
"18-30","thr20",11.1210662928938,11.7775163898204,0.656450096926607,5.9027621959782,60.5,0.286167801545385,0.267999189955618,-6.34893635540117
"18-30","fixed",11.354115032502,12.0093474505468,0.655232418044807,5.77088056769862,55.1366170255138,0.286167801545385,0.267999189955618,-6.34893635540117
"18-30","marginal",11.3487761811788,12.0409192012398,0.692143020061055,6.09883399770391,55.0985032057315,0.286167801545385,0.267999189955618,-6.34893635540117
"31-55","all",12.0941919747318,13.8883509980623,1.79415902333049,14.8348812973946,96,0.291393233210848,0.273415481819394,-6.16958437687731
"31-55","thr01",13.3172817380961,14.6958526352455,1.37857089714938,10.351743878826,77,0.291393233210848,0.273415481819394,-6.16958437687731
"31-55","thr02",13.2789775798481,14.5628954252857,1.28391784543753,9.66880046085759,74.1666666666667,0.291393233210848,0.273415481819394,-6.16958437687731
"31-55","thr05",13.2124701194142,14.3199990617085,1.10752894229429,8.38245182228953,70.3333333333333,0.291393233210848,0.273415481819394,-6.16958437687731
"31-55","thr10",13.0782713547963,14.0336078234674,0.955336468671094,7.30476102501677,63.3333333333333,0.291393233210848,0.273415481819394,-6.16958437687731
"31-55","thr20",13.1396511330029,14.1082683242081,0.968617191205217,7.37171163374603,54.3333333333333,0.291393233210848,0.273415481819394,-6.16958437687731
"31-55","fixed",13.4048001262589,14.2893721571523,0.884572030893409,6.5989199582365,50.381543558701,0.291393233210848,0.273415481819394,-6.16958437687731
"31-55","marginal",13.403890023722,14.2996952260436,0.895805202321615,6.68317332308929,50.3711490274906,0.291393233210848,0.273415481819394,-6.16958437687731
"56-65","all",12.1320055104738,13.7373153125264,1.60530980205261,13.2320233506877,96,0.223792738129222,0.242055471700223,8.16055682756618
"56-65","thr01",13.257537351388,14.6536147445098,1.39607739312179,10.5304428425814,76.6666666666667,0.223792738129222,0.242055471700223,8.16055682756618
"56-65","thr02",13.2627792781889,14.6166027377922,1.35382345960327,10.2076904938747,73.8333333333333,0.223792738129222,0.242055471700223,8.16055682756618
"56-65","thr05",13.2443296276414,14.5350529235608,1.2907232959194,9.74547849689278,70.5,0.223792738129222,0.242055471700223,8.16055682756618
"56-65","thr10",13.0870110447336,14.4148356794946,1.32782463476099,10.1461260346023,64.5,0.223792738129222,0.242055471700223,8.16055682756618
"56-65","thr20",13.0446006369697,14.5032443307285,1.45864369375875,11.1819727897595,56.1666666666667,0.223792738129222,0.242055471700223,8.16055682756618
"56-65","fixed",13.1133337809755,14.8088605695748,1.69552678859935,12.9297920492132,51.5951072072708,0.223792738129222,0.242055471700223,8.16055682756618
"56-65","marginal",13.1201971629571,14.8326506800988,1.7124535171417,13.0520410316437,51.5535872854646,0.223792738129222,0.242055471700223,8.16055682756618
"66+","all",12.444545557788,13.3322948897305,0.887749331942471,7.13364202670225,96,0.0886467765485216,0.0923483323485623,4.17562368781072
"66+","thr01",11.3150910108574,11.8946236020925,0.579532591235111,5.12176694539196,72.8333333333333,0.0886467765485216,0.0923483323485623,4.17562368781072
