"AgeGroup","mean_hour","median_hour","peak_hour","morning_6_12","midday_12_18","evening_18_24","total_away","sd_hour","Period"
"10-17",12.5022050953234,12.1263157894737,10.8631578947368,0.46176340100736,0.415812986862052,0.112245484823449,0.990091825691558,3.587691379932,"Baseline"
"18-30",13.5671262257541,13.3894736842105,12.1263157894737,0.352514784363507,0.454919673932963,0.166694099661747,0.976916977054764,3.89527524133207,"Baseline"
"31-55",12.7445819969304,12.6315789473684,11.3684210526316,0.422551529479408,0.460618474625102,0.102246953658531,0.990005562353924,3.64907824457214,"Baseline"
"56-65",12.856968570586,12.6315789473684,11.1157894736842,0.415515152546178,0.448798306039383,0.119257752191036,0.988886955033718,3.74762765709869,"Baseline"
"66+",13.8218358684027,13.6421052631579,11.1157894736842,0.334687432026833,0.486843076577402,0.165121905409826,0.987759728268502,3.62507388519158,"Baseline"
"10-17",13.0629056175417,12.3789473684211,10.8631578947368,0.451761419622721,0.412934222319671,0.123807207337353,0.988752770546738,3.65873549906859,"2007–2009"
"10-17",13.0072467323237,12.1263157894737,10.8631578947368,0.460855120150193,0.401246390018192,0.126372476643318,0.988693790360858,3.67386329363639,"2010–2012"
"10-17",12.791811890259,12.1263157894737,11.1157894736842,0.469345483469539,0.41910018772946,0.102451460023915,0.991273838716582,3.49787412720278,"2013–2015"
"10-17",12.8113376113609,12.1263157894737,11.3684210526316,0.461232140058657,0.431657452191067,0.100198694240979,0.993154591836596,3.44723413875913,"2016–2018"
"10-17",12.6634676477857,12.1263157894737,11.1157894736842,0.477043914123707,0.423932814188951,0.0909771507206602,0.99215814824441,3.39647734510047,"2019–2021"
"10-17",12.787843202129,12.1263157894737,11.1157894736842,0.469200258223101,0.417847580042037,0.103656923179433,0.990860675778875,3.49587390423009,"2022–2024"
"18-30",13.9554132187585,13.3894736842105,12.1263157894737,0.344533573376031,0.449531255332196,0.177236825613975,0.973882676812775,3.93947116134505,"2007–2009"
"18-30",13.9033251667773,13.3894736842105,11.8736842105263,0.352264600563891,0.444466664219613,0.177001199463113,0.976231955030275,3.93102741869969,"2010–2012"
"18-30",13.7783384077977,13.1368421052632,11.8736842105263,0.358493276685723,0.457420426303209,0.160098815946132,0.97794237183249,3.84069531807992,"2013–2015"
"18-30",13.8424359944538,13.3894736842105,12.3789473684211,0.351257866303336,0.459961142909988,0.165646634455595,0.979567509935441,3.85341365857599,"2016–2018"
"18-30",13.8488414259803,13.3894736842105,12.6315789473684,0.348695759920813,0.466971170807983,0.160975812862456,0.978713254715391,3.82896915611221,"2019–2021"
"18-30",13.66191067566,13.1368421052632,11.6210526315789,0.370606922904743,0.448672076081099,0.157301037369726,0.980441860761173,3.86861504582486,"2022–2024"
"31-55",13.0505377910934,12.6315789473684,11.3684210526316,0.420261053959073,0.460234053837751,0.105333618293075,0.989968337498671,3.65595078317652,"2007–2009"
"31-55",12.9885158419144,12.6315789473684,11.3684210526316,0.426341490467182,0.456797326006082,0.102371650717651,0.989892741199047,3.64828094113305,"2010–2012"
"31-55",12.9737695536743,12.6315789473684,11.3684210526316,0.425359585538451,0.461284228286522,0.0990267274383147,0.990341492228237,3.62552155591326,"2013–2015"
"31-55",13.1034626134926,12.6315789473684,11.3684210526316,0.414783308514273,0.460740539994589,0.10975297338935,0.989385618807062,3.67548885451697,"2016–2018"
"31-55",12.9940518677968,12.6315789473684,11.6210526315789,0.422190401991109,0.464721527607682,0.100400786272882,0.991873511194269,3.62016024413632,"2019–2021"
"31-55",12.8637285371133,12.3789473684211,11.6210526315789,0.43288353634628,0.46418168628884,0.0895230583244841,0.991670079765185,3.54909487277928,"2022–2024"
"56-65",13.2452627754794,12.6315789473684,11.1157894736842,0.408516451910564,0.451439170708748,0.122727716260297,0.987107523274337,3.73410326791897,"2007–2009"
"56-65",13.2141165719275,12.6315789473684,11.1157894736842,0.411200907670284,0.451685166719898,0.121740115611442,0.989051385992835,3.72364970728096,"2010–2012"
"56-65",13.1122624800726,12.6315789473684,10.8631578947368,0.422388839879539,0.445638504030088,0.11782083926423,0.990192969444004,3.70952809430931,"2013–2015"
"56-65",13.1445902385264,12.6315789473684,11.1157894736842,0.407713204416444,0.458372583841328,0.11716856494595,0.989752261840668,3.74331742596914,"2016–2018"
"56-65",13.1505667082288,12.6315789473684,11.1157894736842,0.411800560099788,0.447506520784729,0.12162129907519,0.98844387572996,3.7764362123482,"2019–2021"
"56-65",13.0036875094918,12.6315789473684,11.3684210526316,0.425993691750832,0.45153494685384,0.10721513041616,0.989765739396393,3.65805186855927,"2022–2024"
"66+",14.1025519195357,13.6421052631579,11.1157894736842,0.332660989795409,0.494497520339683,0.158477877477573,0.986194805311448,3.56047464249915,"2007–2009"
"66+",14.0787168716039,13.3894736842105,10.8631578947368,0.340045973118987,0.475745395873354,0.167864497358443,0.984870483031875,3.66937427902244,"2010–2012"
"66+",13.9406335238928,13.3894736842105,11.1157894736842,0.337832839489628,0.504964020695151,0.145925181783409,0.989425899267291,3.48748689341507,"2013–2015"
"66+",13.9915379507587,13.3894736842105,11.1157894736842,0.338572905242476,0.490499404816119,0.157837665127814,0.988167685672886,3.60141449898314,"2016–2018"
"66+",14.0519789796719,13.6421052631579,11.1157894736842,0.335592206809596,0.491510499537024,0.163382307768437,0.991547925147062,3.58345419949602,"2019–2021"
"66+",14.1288519990857,13.6421052631579,11.1157894736842,0.328219809092495,0.482534595414398,0.176807470983145,0.989096332616732,3.6494253970923,"2022–2024"
