"AgeGroup","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","Period"
"10-17",0.270979122505986,0.805250238315785,3.84671017029952,19.3260057195788,7.03054724013822,0.437380743704999,"Baseline (2007-2009)"
"18-30",0.244771822432647,1.14788993680121,4.44789418797323,27.549358483229,6.89460247755503,0.738370042370545,"Baseline (2007-2009)"
"31-55",0.249955291650472,1.56408173342343,5.92932192544994,37.5379616021622,8.53948826281567,2.04676219419245,"Baseline (2007-2009)"
"56-65",0.187867816878693,0.909653487866841,5.14292445499353,21.8316837088042,8.74126720095729,0.521918527462581,"Baseline (2007-2009)"
"66+",0.0888782337709527,0.418768006972921,4.54164620422863,10.0504321673501,8.0661788271038,0.133999344720951,"Baseline (2007-2009)"
"10-17",0.28108881915552,0.848769206274406,3.79013902819947,20.3704609505858,6.14688441434065,0.446704797332038,"2007–2009"
"10-17",0.269083335185073,0.850464152427612,3.74843820456897,20.4111396582627,6.51973695273578,0.453688555260208,"2010–2012"
"10-17",0.272494726035089,0.765549816502623,3.12020499886508,18.3731955960629,5.35157242052254,0.436094129708266,"2013–2015"
"10-17",0.285001417360853,0.819060979926566,3.86382800713271,19.6574635182376,6.29214075064369,0.500914281670787,"2016–2018"
"10-17",0.254076763306624,0.727263708706317,4.39134747896923,17.4543290089516,8.35354113100196,0.371567700600833,"2019–2021"
"10-17",0.264129673992754,0.820393566057183,4.16630330406167,19.6894455853724,9.51940777158467,0.415314997657863,"2022–2024"
"18-30",0.270441676662854,1.25072573644716,4.24156537019934,30.0174176747318,7.09093746344099,0.825187631723258,"2007–2009"
"18-30",0.255635566946209,1.27703417361245,4.47579523786159,30.6488201666989,7.01252243650475,0.914381206278449,"2010–2012"
"18-30",0.245499518901804,1.10547226746138,4.12768754003768,26.5313344190732,6.4335519309886,0.71573685174037,"2013–2015"
"18-30",0.253863634950303,1.15062530888738,4.35146347103938,27.615007413297,7.03642756062325,0.71370425480772,"2016–2018"
"18-30",0.219314692990051,1.02022332901658,4.41394627315625,24.485359896398,6.27987645589916,0.632235734739961,"2019–2021"
"18-30",0.22387584414466,1.08325880538229,5.07690723554512,25.998211329175,7.51429901787341,0.628974574933515,"2022–2024"
"31-55",0.262749908784143,1.59826602789403,5.71001412487585,38.3583846694567,8.55337191334252,2.06223237990389,"2007–2009"
"31-55",0.258511506575592,1.61171658746605,5.93723271838068,38.6811980991851,8.65839238138737,2.10312221396779,"2010–2012"
"31-55",0.256715116794457,1.59008599760847,5.46447927732177,38.1620639426032,7.89505663099529,2.21091260566788,"2013–2015"
"31-55",0.266277487470289,1.73768665438649,6.01927875660661,41.7044797052758,8.42193095640927,2.46672329719303,"2016–2018"
"31-55",0.224486143967993,1.40378175936159,6.01165350611949,33.6907622246783,8.70294888125275,1.64898761787477,"2019–2021"
"31-55",0.230991586310357,1.44295337382393,6.43327316939526,34.6308809717744,9.00522881350683,1.78859505054735,"2022–2024"
"56-65",0.184857391389385,0.907754518269824,4.70847131956095,21.7861084384758,7.72547456930401,0.537270544117129,"2007–2009"
"56-65",0.180899911025266,0.818599684516135,5.09084442067296,19.6463924283872,7.87974941861708,0.412829310124796,"2010–2012"
"56-65",0.174822354994492,0.8247009342598,5.26937073958632,19.7928224222352,10.9195695922884,0.382469633335276,"2013–2015"
"56-65",0.209645918407227,1.02979782602924,5.18798197160218,24.7151478247018,9.73179556673261,0.629825878916679,"2016–2018"
"56-65",0.191834227905596,0.98140467187437,5.5033403950211,23.5537121249849,9.31756140530668,0.54722261222209,"2019–2021"
"56-65",0.185147097550193,0.895663292251678,5.09753788351765,21.4959190140403,6.87345265349497,0.621893186059515,"2022–2024"
"66+",0.0895551735735352,0.403766038373665,4.31818142862194,9.69038492096796,8.12680101452169,0.119094334018555,"2007–2009"
"66+",0.0869194999833056,0.378416988942202,4.10984315961701,9.08200773461286,7.11099131145751,0.101930963914266,"2010–2012"
"66+",0.0853765785968505,0.379966607848681,4.07900383190032,9.11919858836835,7.66162148620065,0.124871646984963,"2013–2015"
"66+",0.0943161377764077,0.466785046182899,4.93253856026519,11.2028411083896,8.82813951035237,0.154262468147561,"2016–2018"
"66+",0.0880424985861148,0.466122657026532,4.97411260051022,11.1869437686368,8.87399340108119,0.172724779357147,"2019–2021"
"66+",0.0890595141095024,0.417550703463544,4.83619764445707,10.0212168831251,7.79552623900942,0.131111875903211,"2022–2024"
