"AgeGroup","metric","slope_per_period","obs_1921","pred_1921","dep_1921","obs_2224","pred_2224","dep_2224","slope_lo","slope_hi","dep_1921_lo","dep_1921_hi","dep_2224_lo","dep_2224_hi","sig_slope","sig_1921","sig_2224"
"10-17","frac_away",0.14949795838509,29.3150928859424,32.0070195206889,-2.69192663474653,30.1753041723265,32.156517479074,-1.98121330674751,-0.179971614256221,0.472309131471507,-3.97202912336426,-1.47557977808613,-3.44302729967728,-0.305270659994069,FALSE,TRUE,TRUE
"18-30","frac_away",-0.676170217499355,23.5334449694479,25.9410977025432,-2.40765273309535,24.0872117918894,25.2649274850439,-1.17771569315452,-1.11465754031483,-0.190821048681961,-4.13967729583051,-0.728758015791516,-3.22564313287976,0.826917199845637,TRUE,TRUE,FALSE
"31-55","frac_away",0.0349285794766715,23.883451733815,27.903089136207,-4.01963740239204,24.4678034894688,27.9380177156837,-3.47021422621487,-0.249028721920057,0.332156748210721,-5.12184977119844,-2.88602597800366,-4.81864818865004,-2.21205242228829,FALSE,TRUE,TRUE
"56-65","frac_away",0.712889157534313,20.5784080952743,22.0990599670711,-1.52065187179675,19.847702119951,22.8119491246054,-2.96424700465445,0.269561084935807,1.13151164012559,-3.22124535214621,0.387552405887863,-5.1207916024398,-0.641158452116548,TRUE,FALSE,TRUE
"66+","frac_away",0.122884735289092,9.69579975420687,10.1628337875303,-0.467034033323475,9.79679352788864,10.2857185228194,-0.488924994930796,-0.134924064149247,0.342030084997888,-1.39307712771458,0.369476802110502,-1.45713785748001,0.588352683594147,FALSE,FALSE,FALSE
"10-17","mean_dist",-0.0964624298818585,2.09645271404377,2.01389108602963,0.0825616280141386,2.42185627552154,1.91742865614777,0.504427619373768,-0.234774055609614,0.0482068249530874,-0.379803984051597,0.51169775648536,-0.116065076404286,1.0314338731494,FALSE,FALSE,FALSE
"18-30","mean_dist",-0.053864893502258,3.88332367876331,4.09912456955598,-0.215800890792672,4.27891898398942,4.04525967605373,0.233659307935695,-0.300494003689797,0.210447823587813,-1.0102029349991,0.516222930935394,-0.873065863665216,1.40370871133067,FALSE,FALSE,FALSE
"31-55","mean_dist",0.183793291261815,5.27904754832675,5.99873304064339,-0.719685492316642,5.71178267926764,6.1825263319052,-0.470743652637561,-0.00271558910373398,0.382683121365075,-1.49857043065528,0.0171418244220193,-1.38154127334318,0.425655108682819,FALSE,FALSE,FALSE
"56-65","mean_dist",0.147165081309666,4.61023848006851,4.18124783208693,0.428990647981582,4.49375660645563,4.32841291339659,0.165343693059031,-0.0915082205714924,0.369300778322503,-0.524504847091181,1.4960379217593,-0.986923097658307,1.41924653215564,FALSE,FALSE,FALSE
"66+","mean_dist",0.0635801420687564,3.76178090279363,3.04752253473277,0.714258368060862,3.02265039243997,3.11110267680153,-0.0884522843615541,-0.105527329386835,0.214877597928839,-0.0618582400048812,1.46039036978208,-0.743853351647022,0.604559376540263,FALSE,FALSE,FALSE
