"AgeGroup","Period","fraction_away","mean_distance","mean_distance_active","volume","dist_p90","var_distance","fraction_away_baseline","mean_distance_baseline","mean_distance_active_baseline","volume_baseline","dist_p90_baseline","var_distance_baseline","change_fraction_away","change_mean_distance_active","change_volume","pct_change_volume","pct_change_distance","pct_change_fraction_away"
"10-17","2007–2009",0.277856630999365,1.41855492319145,5.13708536216821,34.0453181565947,8.45487808873823,1.59584824960814,0.275149892001444,1.50896074309595,5.58081205537033,36.2150578343029,9.77633932975468,1.91377683286062,0.00270673899792118,-0.443726693202126,-2.16973967770816,-5.99126387602502,-7.95093417946469,0.983732531469419
"10-17","2010–2012",0.272910299835323,1.49790431758019,5.51839031617018,35.9497036219246,9.49575640119012,1.70487541057399,0.275149892001444,1.50896074309595,5.58081205537033,36.2150578343029,9.77633932975468,1.91377683286062,-0.00223959216612069,-0.0624217392001558,-0.26535421237832,-0.732717903123093,-1.11850638546568,-0.813953496339709
"10-17","2013–2015",0.278840609710541,1.52199211239736,5.54507724256344,36.5278106975366,9.04818756631641,1.94489180562134,0.275149892001444,1.50896074309595,5.58081205537033,36.2150578343029,9.77633932975468,1.91377683286062,0.00369071770909724,-0.0357348128068891,0.31275286323374,0.863598961141243,-0.640315646761513,1.34134804933082
"10-17","2016–2018",0.295904887326154,1.64734755173609,5.68295175954948,39.5363412416661,9.10000000000582,2.58397424981009,0.275149892001444,1.50896074309595,5.58081205537033,36.2150578343029,9.77633932975468,1.91377683286062,0.02075499532471,0.102139704179146,3.32128340736323,9.17100125190827,1.83019430086091,7.54315953887456
"10-17","2019–2021",0.255005750354503,1.42119922920248,5.73061483638639,34.1087815008596,9.95397143947234,1.8213662066397,0.275149892001444,1.50896074309595,5.58081205537033,36.2150578343029,9.77633932975468,1.91377683286062,-0.0201441416469412,0.14980278101606,-2.10627633344329,-5.81602366363813,2.68424701512582,-7.3211519366453
"10-17","2022–2024",0.270381173782777,1.54676632446815,5.8707528153843,37.1223917872357,12.6052424828052,1.83170507491049,0.275149892001444,1.50896074309595,5.58081205537033,36.2150578343029,9.77633932975468,1.91377683286062,-0.00476871821866659,0.289940760013962,0.907333952932788,2.50540522973668,5.19531489570511,-1.73313468668981
"18-30","2007–2009",0.300752333367924,3.24783730653114,10.9168152722163,77.9480953567474,11.5235752579957,7.88461853442895,0.282698995845172,3.22486926740981,11.5238120346554,77.3968624178355,14.6088904780047,8.06601832856136,0.0180533375227518,-0.606996762439127,0.551232938911895,0.712216130850373,-5.26732612970181,6.38606354747693
"18-30","2010–2012",0.285865112232359,3.12449178883077,11.0490118719734,74.9878029319386,11.5839523669827,7.52878501212613,0.282698995845172,3.22486926740981,11.5238120346554,77.3968624178355,14.6088904780047,8.06601832856136,0.00316611638718739,-0.47480016268198,-2.40905948589696,-3.11260613239253,-4.12016580324392,1.11996025232485
"18-30","2013–2015",0.287488519583618,3.25686738239149,11.4212861672757,78.1648171773956,13.0727727266252,8.48316859539003,0.282698995845172,3.22486926740981,11.5238120346554,77.3968624178355,14.6088904780047,8.06601832856136,0.00478952373844671,-0.102525867379761,0.767954759560098,0.99222983409096,-0.889687085067303,1.69421321222868
"18-30","2016–2018",0.289800502419241,3.26902320809057,11.370718203779,78.4565569941737,14.4217984136968,7.95762102649165,0.282698995845172,3.22486926740981,11.5238120346554,77.3968624178355,14.6088904780047,8.06601832856136,0.00710150657406944,-0.153093830876434,1.05969457633812,1.36916994208013,-1.3284998958334,2.51203813187889
