"AgeGroup","Period","shift_mean","shift_median","shift_peak","shift_morning","shift_midday","shift_evening","shift_total_away","shift_sd"
"10-17","2007–2009",0.158127247398532,0,-0.252631578947369,-0.00749636624716915,-0.00759256802635572,0.0133855102881248,-0.0016159127044576,0.11679627202419
"10-17","2010–2012",0.102592772528999,0,-0.252631578947369,-0.000913161982930566,-0.0162084199998984,0.0144507519996122,-0.00264064107355999,0.109618514852011
"10-17","2013–2015",-0.0371577431954702,0,0.252631578947367,0.00355197461734047,-0.00184229368272326,-0.00219811463651741,-0.000579931218629315,-0.00885484004674275
"10-17","2016–2018",-0.0444591364891007,0,0.757894736842104,-0.00466587517272288,0.0169595758746806,-0.0101008607531137,0.00208566674062494,-0.0899748456197003
"10-17","2019–2021",-0.14515739747619,0,0.505263157894737,0.00955309424656048,0.005248980666968,-0.0128910124652433,0.0019333276240433,-0.106705686523318
"10-17","2022–2024",-0.0633311693334289,0,0.505263157894737,0.00241438025300716,0.00354860430155124,-0.00491790633391166,0.00111671514659029,-0.0533294352910718
"18-30","2007–2009",0.178513988516851,0,0.252631578947369,-0.0132079413915796,-0.00422685910333997,0.0146311468224363,-0.00342451996931747,0.0656238202282187
"18-30","2010–2012",0.110499415583645,0,0,-0.00422947818515934,-0.0113595100153902,0.0135531764723905,-0.00257601157683174,0.0657954973830273
"18-30","2013–2015",0.0233798741306153,0,0,-0.0033471578555716,0.00441567090032807,-0.00176351872469774,-0.00108611793299718,-0.0315561497345369
"18-30","2016–2018",0.00167893006157094,0,0.505263157894738,-0.00342863851319691,0.00711265797887312,-0.00224593689775376,0.00149285712381308,-0.0232923998472003
"18-30","2019–2021",-0.114933732118606,-0.252631578947367,0.252631578947369,0.00789355955942844,0.00341003824391795,-0.00927359622678578,0.00277198763924547,-0.0266766413976351
"18-30","2022–2024",-0.18708520975613,-0.252631578947367,-0.252631578947367,0.0161776506826161,-0.00109489327533829,-0.0133056829522287,0.00252689324099897,-0.0511180574715415
"31-55","2007–2009",0.0771396332846717,0,0,-0.00630926376401092,0.00096462369080158,0.00488968628248385,-0.000832936328670764,0.0284361352021478
"31-55","2010–2012",0.0639235266210854,0,0,-0.00488034530310727,0.00178316352957519,0.00328940985380641,-0.00054786210650859,0.0119450067454467
"31-55","2013–2015",0.0426007033356193,0,0,-0.00380077328905021,0.00237717780737262,0.00133818357118257,-0.00050759560003466,0.000659024834796629
"31-55","2016–2018",0.0215863723850607,0,0,-0.001168301934174,-0.00376465265441295,0.00393461662537618,-0.000896102847760982,0.0336207310892425
"31-55","2019–2021",-0.0807413495663933,0,0,0.00602988708304414,0.00162935289323007,-0.00578655139803956,0.00206150251563064,-0.042246817709783
"31-55","2022–2024",-0.15026872444659,0,0,0.0121208689279804,-0.00269629580942488,-0.00951841531729691,0.00127080633144094,-0.0510595855820428
"56-65","2007–2009",0.114516426094511,0.252631578947367,0,-0.00903240424014901,0.00353838564706382,0.00528043113154959,-0.00121656536104797,0.000700434646409676
"56-65","2010–2012",0.166042793306536,0.252631578947367,0,-0.011452949746301,0.000691029047833247,0.0108837402316166,-0.00134319755311019,0.0281933763118833
"56-65","2013–2015",0.0553685467644893,0.252631578947367,-0.252631578947367,-0.00400347072482171,0.000485480192873977,0.00408906432326588,0.000497763700581744,0.0124319607353711
"56-65","2016–2018",-0.00654823346217803,0.252631578947367,0,-0.00193108595236857,0.00562918706220972,-0.00293071259966983,0.000983249299122635,-0.0142165402650161
"56-65","2019–2021",-0.0839914525815857,0,0,0.00618036072171496,-0.0062446648968224,-0.00234043245755881,-0.000860906210169432,0.0247196147665369
"56-65","2022–2024",-0.196315480928215,0,0.252631578947369,0.0164328419421659,-0.00380162444220067,-0.0117800002370971,0.00148011508063728,-0.0514529948745892
"66+","2007–2009",0.206065210206535,0.252631578947369,-0.252631578947367,-0.0139320710218347,-1.97330446993216e-05,0.0119376267435488,-0.00291913093500529,0.0113809872742778
"66+","2010–2012",-0.0245089688644757,-0.252631578947367,-0.252631578947367,0.00413073066056097,-0.0023435036973925,-0.00349156699924252,-0.00136682060492022,-0.00586934365122183
"66+","2013–2015",-0.116217351276118,-0.252631578947367,0,0.00364415662294376,0.0154728874456232,-0.0181984905793784,0.000684141612574241,-0.0914320276518801
"66+","2016–2018",-0.0561543040038419,-0.252631578947367,-0.252631578947367,0.00241501724019327,0.00582048460520934,-0.00679884962243388,0.00135717848343697,-0.0424831236197756
"66+","2019–2021",0.114653755761928,0,0,-0.0105736435506825,-0.000745161493097446,0.0115514226831835,0.0001164853209078,0.0430371158668157
"66+","2022–2024",-0.0687468905626325,-0.252631578947367,0,0.00970832786068726,-0.0148933013575052,0.0054979592965155,0.00100539933763655,0.0611656326569685
