"AgeGroup","x_start","y_start","x_end","y_end","dx","dy","period_transition","angle_deg","segment_length"
"10-17",0.276033970830753,3.81842459924949,0.269083335185073,3.74843820456897,-0.00695063564567999,-0.0699863946805248,"Baseline (2007-2009) -> 2010-2012",-95.6716803014059,0.070330695832312
"18-30",0.257606749547751,4.34472977908628,0.255635566946209,4.47579523786159,-0.00197118260154155,0.131065458775305,"Baseline (2007-2009) -> 2010-2012",90.8616452459786,0.131080280915284
"31-55",0.256352600217307,5.81966802516289,0.258511506575592,5.93723271838068,0.00215890635828453,0.117564693217785,"Baseline (2007-2009) -> 2010-2012",88.9479637310629,0.117584514150698
"56-65",0.186362604134039,4.92569788727724,0.180899911025266,5.09084442067296,-0.00546269310877298,0.16514653339572,"Baseline (2007-2009) -> 2010-2012",91.8945307329763,0.165236855781706
"66+",0.0892167036722439,4.42991381642528,0.0869194999833056,4.10984315961701,-0.00229720368893835,-0.320070656808275,"Baseline (2007-2009) -> 2010-2012",-90.4112148781203,0.320078900420613
"10-17",0.269083335185073,3.74843820456897,0.272494726035089,3.12020499886508,0.00341139085001602,-0.62823320570389,"2010-2012 -> 2013-2015",-89.6888792647112,0.628242467791312
"18-30",0.255635566946209,4.47579523786159,0.245499518901804,4.12768754003768,-0.010136048044405,-0.348107697823909,"2010-2012 -> 2013-2015",-91.6678422624052,0.348255235070804
"31-55",0.258511506575592,5.93723271838068,0.256715116794457,5.46447927732177,-0.001796389781135,-0.47275344105891,"2010-2012 -> 2013-2015",-90.2177140312689,0.47275685404792
"56-65",0.180899911025266,5.09084442067296,0.174822354994492,5.26937073958632,-0.00607755603077401,0.178526318913359,"2010-2012 -> 2013-2015",91.9497622918966,0.178629737815577
"66+",0.0869194999833056,4.10984315961701,0.0853765785968505,4.07900383190032,-0.00154292138645511,-0.0308393277166896,"2010-2012 -> 2013-2015",-92.8641750755893,0.0308779005183669
"10-17",0.272494726035089,3.12020499886508,0.285001417360853,3.86382800713271,0.012506691325764,0.74362300826763,"2013-2015 -> 2016-2018",89.0364565553476,0.743728173295134
"18-30",0.245499518901804,4.12768754003768,0.253863634950303,4.35146347103938,0.00836411604849902,0.2237759310017,"2013-2015 -> 2016-2018",87.8594410748109,0.223932190032943
"31-55",0.256715116794457,5.46447927732177,0.266277487470289,6.01927875660661,0.00956237067583199,0.55479947928484,"2013-2015 -> 2016-2018",89.0125635320394,0.554881880356236
"56-65",0.174822354994492,5.26937073958632,0.209645918407227,5.18798197160218,0.034823563412735,-0.0813887679841399,"2013-2015 -> 2016-2018",-66.8355188093911,0.0885257709525137
"66+",0.0853765785968505,4.07900383190032,0.0943161377764077,4.93253856026519,0.0089395591795572,0.85353472836487,"2013-2015 -> 2016-2018",89.3999303517218,0.853581541648609
"10-17",0.285001417360853,3.86382800713271,0.254076763306624,4.39134747896923,-0.030924654054229,0.52751947183652,"2016-2018 -> 2019-2021",93.3549976761026,0.528425138874993
"18-30",0.253863634950303,4.35146347103938,0.219314692990051,4.41394627315625,-0.034548941960252,0.06248280211687,"2016-2018 -> 2019-2021",118.939751341397,0.0713983889940718
"31-55",0.266277487470289,6.01927875660661,0.224486143967993,6.01165350611949,-0.041791343502296,-0.00762525048711993,"2016-2018 -> 2019-2021",-169.659558244917,0.0424812998473237
"56-65",0.209645918407227,5.18798197160218,0.191834227905596,5.5033403950211,-0.017811690501631,0.31535842341892,"2016-2018 -> 2019-2021",93.2326758794712,0.315861032005838
"66+",0.0943161377764077,4.93253856026519,0.0880424985861148,4.97411260051022,-0.00627363919029289,0.0415740402450302,"2016-2018 -> 2019-2021",98.581347436941,0.0420447305971315
"10-17",0.254076763306624,4.39134747896923,0.264129673992754,4.16630330406167,0.01005291068613,-0.22504417490756,"2019-2021 -> 2022-2024",-87.4422502305503,0.225268598950426
"18-30",0.219314692990051,4.41394627315625,0.22387584414466,5.07690723554512,0.00456115115460901,0.66296096238887,"2019-2021 -> 2022-2024",89.6058130078753,0.662976652493458
"31-55",0.224486143967993,6.01165350611949,0.230991586310357,6.43327316939526,0.006505442342364,0.42161966327577,"2019-2021 -> 2022-2024",89.1160165255161,0.421669848626676
"56-65",0.191834227905596,5.5033403950211,0.185147097550193,5.09753788351765,-0.006687130355403,-0.40580251150345,"2019-2021 -> 2022-2024",-90.9440791030954,0.405857605638847
"66+",0.0880424985861148,4.97411260051022,0.0890595141095024,4.83619764445707,0.00101701552338759,-0.13791495605315,"2019-2021 -> 2022-2024",-89.5774958521224,0.137918705851371
