"AgeGroup","Period","shift_mean","shift_median","shift_peak","shift_morning","shift_midday","shift_evening","shift_total_away","shift_sd"
"10-17","2007–2009",0.215720310236597,0,-0.505263157894737,-0.0147135795700363,-0.0033191116148989,0.0153734564236173,-0.00263925297158574,0.118583995558122
"10-17","2010–2012",0.146380790083294,0,-0.505263157894737,-0.00239165568952393,-0.0200260865960439,0.0194569231285061,-0.00292792215890803,0.145280440436394
"10-17","2013–2015",-0.00415372122152569,0,0.252631578947369,-0.000845205227512136,0.00129364035757951,-0.000975168953423464,-0.00058147471547898,0.00729073314140916
"10-17","2016–2018",-0.0959578289786602,0,0.505263157894737,-0.000291397529773696,0.017959537711312,-0.0150784396364517,0.00250689148636574,-0.120946168762972
"10-17","2019–2021",-0.140058613942719,-0.252631578947369,0,0.0134105352131703,-0.00532572694070621,-0.00688925029235132,0.0012931364530806,-0.0680242542034932
"10-17","2022–2024",-0.130913796907214,0,0.505263157894737,0.00684656690084301,0.00679497303005366,-0.0113818239818472,0.00226612890151201,-0.103225987447452
"18-30","2007–2009",0.171223919883154,0,0,-0.0134957539302993,-0.00553794143851594,0.0147838163923441,-0.00377855376510694,0.0797753102583481
"18-30","2010–2012",0.17871901235732,0,-0.252631578947369,-0.010595033155807,-0.0112941002248567,0.0186971098247481,-0.00358894141121002,0.0786634644236033
"18-30","2013–2015",0.0227092875144592,0,-0.505263157894738,-0.00392400629567363,0.00669969682262933,-0.00293139977233542,-0.000475360402946712,-0.0454080385606286
"18-30","2016–2018",0.0271141847758116,0,0.252631578947367,-0.00649056864411202,0.00687824178028118,-0.000882405233759598,-0.000430707955200393,-0.0157132268933631
"18-30","2019–2021",-0.121361532466233,-0.252631578947369,0.252631578947367,0.00799296920340076,0.00844383177002245,-0.0136019942045823,0.00240662638512834,-0.0714151430693155
"18-30","2022–2024",-0.236838269890493,-0.252631578947369,-0.505263157894738,0.0239578635580899,-0.00681547901499319,-0.0126594784354059,0.00501298345752499,-0.0290927467225606
"31-55","2007–2009",0.0920800155226367,0,0.252631578947367,-0.00808074901499434,0.000643016982734224,0.00649023754324564,-0.00101258897234791,0.0429421948581368
"31-55","2010–2012",0.0661531478103807,0,0,-0.00576589616865053,0.00147627672764644,0.00375233722851957,-0.000584988522887575,0.0158595880083152
"31-55","2013–2015",0.0170089053080478,0,-0.252631578947369,-0.00132409144907447,0.00025279746257445,0.000108531605384099,-0.000940580705477867,0.0106302596762919
"31-55","2016–2018",0.066802226537618,0,0,-0.0060002134781153,-0.00153945275438327,0.00575111543717723,-0.00187584314388256,0.0362963363904059
"31-55","2019–2021",-0.154909462646248,0,0,0.0134827255938648,0.000182147875132932,-0.0107085288598967,0.00287311002870239,-0.066864956005996
"31-55","2022–2024",-0.109431007148954,0,0.505263157894737,0.00970678413894149,-0.00079313703110484,-0.00706259955911738,0.0020927766648291,-0.0571925242835332
"56-65","2007–2009",0.0257233510100363,0,0,-0.00355060663631379,0.00226782817300047,-0.000214736673771726,-0.000530428653060966,-0.00252845533799695
"56-65","2010–2012",0.203396491673928,0.252631578947369,-0.252631578947369,-0.0154839255274726,0.00177041623690499,0.0132771460348436,-0.00176899952270848,0.0355158142228595
"56-65","2013–2015",0.0413614295367299,0,-0.252631578947369,-0.00561492378036904,-0.000365764341284769,0.00500134016779931,0.00014033968857996,0.0342471886304723
"56-65","2016–2018",0.053612214487293,0,-0.252631578947369,-0.00566744901612148,-4.40866506700721e-05,0.00419615591690867,-0.00119392807748731,0.0481048812952838
"56-65","2019–2021",-0.0743584642667319,0,-0.505263157894737,0.0106032771112487,-0.0108718526201018,-0.000157246273270364,-0.000845739988241334,0.0352464008349429
"56-65","2022–2024",-0.19399595983065,-0.252631578947367,0.252631578947367,0.0156106955849176,0.00545674576204203,-0.0172454537525153,0.00329173778950054,-0.133548490943841
"66+","2007–2009",0.155543102338246,0,-0.252631578947369,-0.00584267124798499,-0.0111583968798699,0.0155435919914042,-0.00193100064299034,0.0251689140158873
"66+","2010–2012",0.00414746156510226,0,-0.252631578947369,0.00105581115835857,0.000478081996408641,-0.00222969708562479,-0.000989754328240222,-0.0189296346260011
"66+","2013–2015",-0.20824460674741,-0.252631578947367,0,0.0194817163569083,-0.00284783363611441,-0.0183938823972164,-0.00095788426247978,-0.00945053967027309
"66+","2016–2018",-0.00507861537067811,0,0,-0.00507650528905157,0.0121403228040282,-0.00629336301932962,0.000457881300249485,-0.0756838862635267
"66+","2019–2021",0.0102941841876216,0,0,-0.00403543855633698,0.00115169779206858,0.00379160928889724,0.00106379824746616,0.0353456018793912
"66+","2022–2024",0.0393547298573846,0,0,-0.0028984508891931,-0.00291150623201597,0.00702010746816634,0.00130946448328784,0.0352549998260203
