"AgeGroup","YearBin","mean_hours_away_grid","share_no_travel_grid"
"10-17","2007–2009",7.52401508503119,0
"10-17","2010–2012",7.11969991724079,0
"10-17","2013–2015",7.13843027686055,0
"10-17","2016–2018",7.41672881150171,0
"10-17","2019–2021",6.61823310428522,0
"10-17","2022–2024",6.80479789225543,0
"18-30","2007–2009",6.84051512271848,0
"18-30","2010–2012",6.46908420405655,0
"18-30","2013–2015",6.26605431400928,0
"18-30","2016–2018",6.33092397636699,0
"18-30","2019–2021",5.26074380165289,0
"18-30","2022–2024",5.57962646752021,0
"31-55","2007–2009",6.43180804695254,0
"31-55","2010–2012",6.30372043825169,0
"31-55","2013–2015",6.15569347846427,0
"31-55","2016–2018",6.56307268794652,0
"31-55","2019–2021",5.39744522545664,0
"31-55","2022–2024",5.50269144805333,0
"56-65","2007–2009",4.35214063651006,0
"56-65","2010–2012",4.36465092684577,0
"56-65","2013–2015",4.36591562002897,0
"56-65","2016–2018",5.12739253216191,0
"56-65","2019–2021",4.55656626911933,0
"56-65","2022–2024",4.52754311247644,0
"66+","2007–2009",2.10081657628764,0
"66+","2010–2012",1.88891690320692,0
"66+","2013–2015",1.90312108257529,0
"66+","2016–2018",2.07665158371041,0
"66+","2019–2021",1.79173865242657,0
"66+","2022–2024",1.97376525607391,0
