"AgeGroup","endpoint_displacement","path_length","tortuosity","path_type","R","circular_sd","consistency"
"10-17",0.641004286651337,1.52433133944685,2.37803610863524,"Highly tortuous",0.186283545900206,105.040067577959,"Highly variable"
"18-30",0.801910503130352,2.74538339172407,3.42355335290802,"Highly tortuous",0.200135754830458,102.773979884986,"Highly variable"
"31-55",0.879699155550228,1.24241510078446,1.41231816916701,"Moderately winding",0.599223220252352,57.9861084068447,"Highly variable"
"56-65",2.18450696988239,2.19570956402629,1.00512820251817,"Nearly straight",0.966338978085609,14.9936820261878,"Highly consistent"
"66+",1.34906581297973,5.52362959056775,4.09441076737947,"Highly tortuous",0.199916980474812,102.808909797863,"Highly variable"
