"AgeGroup","Period","end_year","bandwidth","H_T","bw_label","mean_distance_active","baseline_mda","drift_distance","fraction_away","baseline_frac","drift_fraction"
"10-17","2007-2009",2009,"baseline",1,"H_T = 1 h (baseline)",5.13708536216821,5.58081205537033,-0.443726693202126,0.277856630999365,0.275149892001444,0.00270673899792118
"10-17","2010-2012",2012,"baseline",1,"H_T = 1 h (baseline)",5.51839031617018,5.58081205537033,-0.0624217392001558,0.272910299835323,0.275149892001444,-0.00223959216612069
"10-17","2013-2015",2015,"baseline",1,"H_T = 1 h (baseline)",5.54507724256344,5.58081205537033,-0.0357348128068891,0.278840609710541,0.275149892001444,0.00369071770909724
"10-17","2016-2018",2018,"baseline",1,"H_T = 1 h (baseline)",5.68295175954948,5.58081205537033,0.102139704179146,0.295904887326154,0.275149892001444,0.02075499532471
"10-17","2019-2021",2021,"baseline",1,"H_T = 1 h (baseline)",5.73061483638639,5.58081205537033,0.14980278101606,0.255005750354503,0.275149892001444,-0.0201441416469412
"10-17","2022-2024",2024,"baseline",1,"H_T = 1 h (baseline)",5.8707528153843,5.58081205537033,0.289940760013962,0.270381173782777,0.275149892001444,-0.00476871821866659
"10-17","2007-2009",2009,"ht05",0.5,"H_T = 0.5 h",5.14330958068959,5.58989166946471,-0.446582088775117,0.277878676515712,0.275175782871949,0.00270289364376369
"10-17","2010-2012",2012,"ht05",0.5,"H_T = 0.5 h",5.52726659520895,5.58989166946471,-0.0626250742557657,0.272938247333043,0.275175782871949,-0.00223753553890521
"10-17","2013-2015",2015,"ht05",0.5,"H_T = 0.5 h",5.55384771677227,5.58989166946471,-0.0360439526924443,0.278871532587358,0.275175782871949,0.00369574971540904
"10-17","2016-2018",2018,"ht05",0.5,"H_T = 0.5 h",5.6892039133278,5.58989166946471,0.0993122438630909,0.295927723685053,0.275175782871949,0.0207519408131045
"10-17","2019-2021",2021,"ht05",0.5,"H_T = 0.5 h",5.74001029715429,5.58989166946471,0.150118627689578,0.255026610378771,0.275175782871949,-0.0201491724931772
"10-17","2022-2024",2024,"ht05",0.5,"H_T = 0.5 h",5.88571191363537,5.58989166946471,0.295820244170661,0.270411906731754,0.275175782871949,-0.00476387614019486
"10-17","2007-2009",2009,"ht20",2,"H_T = 2 h",5.13447080859455,5.57665813103548,-0.442187322440927,0.277849987751183,0.275143356748643,0.00270663100254015
"10-17","2010-2012",2012,"ht20",2,"H_T = 2 h",5.51510569685868,5.57665813103548,-0.0615524341768037,0.27290274878109,0.275143356748643,-0.00224060796755271
"10-17","2013-2015",2015,"ht20",2,"H_T = 2 h",5.54200568782638,5.57665813103548,-0.0346524432091,0.278833127791762,0.275143356748643,0.00368977104311941
"10-17","2016-2018",2018,"ht20",2,"H_T = 2 h",5.67870412371853,5.57665813103548,0.102045992683054,0.295899847466132,0.275143356748643,0.0207564907174892
"10-17","2019-2021",2021,"ht20",2,"H_T = 2 h",5.72585555696891,5.57665813103548,0.14919742593343,0.255001534200016,0.275143356748643,-0.0201418225486266
"10-17","2022-2024",2024,"ht20",2,"H_T = 2 h",5.86380691224583,5.57665813103548,0.287148781210349,0.270372894501673,0.275143356748643,-0.00477046224696953
"18-30","2007-2009",2009,"baseline",1,"H_T = 1 h (baseline)",10.9168152722163,11.5238120346554,-0.606996762439127,0.300752333367924,0.282698995845172,0.0180533375227518
"18-30","2010-2012",2012,"baseline",1,"H_T = 1 h (baseline)",11.0490118719734,11.5238120346554,-0.47480016268198,0.285865112232359,0.282698995845172,0.00316611638718739
"18-30","2013-2015",2015,"baseline",1,"H_T = 1 h (baseline)",11.4212861672757,11.5238120346554,-0.102525867379761,0.287488519583618,0.282698995845172,0.00478952373844671
"18-30","2016-2018",2018,"baseline",1,"H_T = 1 h (baseline)",11.370718203779,11.5238120346554,-0.153093830876434,0.289800502419241,0.282698995845172,0.00710150657406944
"18-30","2019-2021",2021,"baseline",1,"H_T = 1 h (baseline)",12.3781453384745,11.5238120346554,0.854333303819121,0.264063290230111,0.282698995845172,-0.0186357056150607
"18-30","2022-2024",2024,"baseline",1,"H_T = 1 h (baseline)",12.0068953542136,11.5238120346554,0.483083319558187,0.268224217237777,0.282698995845172,-0.0144747786073945
"18-30","2007-2009",2009,"ht05",0.5,"H_T = 0.5 h",10.912171301795,11.5196373750861,-0.607466073291125,0.300739646563499,0.282686452843775,0.0180531937197236
"18-30","2010-2012",2012,"ht05",0.5,"H_T = 0.5 h",11.0436386114929,11.5196373750861,-0.475998763593246,0.285853269741255,0.282686452843775,0.00316681689748027
"18-30","2013-2015",2015,"ht05",0.5,"H_T = 0.5 h",11.4161763033761,11.5196373750861,-0.103461071710019,0.28748051340409,0.282686452843775,0.00479406056031528
"18-30","2016-2018",2018,"ht05",0.5,"H_T = 0.5 h",11.3698615722648,11.5196373750861,-0.149775802821384,0.289785681389689,0.282686452843775,0.00709922854591422
"18-30","2019-2021",2021,"ht05",0.5,"H_T = 0.5 h",12.3727983828668,11.5196373750861,0.853161007780626,0.264047948302723,0.282686452843775,-0.0186385045410522
"18-30","2022-2024",2024,"ht05",0.5,"H_T = 0.5 h",12.0031780787213,11.5196373750861,0.483540703635144,0.268211657661394,0.282686452843775,-0.0144747951823813
"18-30","2007-2009",2009,"ht20",2,"H_T = 2 h",10.9163932630272,11.5236755211378,-0.607282258110622,0.300755512661976,0.282700324263456,0.0180551883985204
"18-30","2010-2012",2012,"ht20",2,"H_T = 2 h",11.0493901736912,11.5236755211378,-0.474285347446653,0.285866257208138,0.282700324263456,0.00316593294468198
"18-30","2013-2015",2015,"ht20",2,"H_T = 2 h",11.4210303086635,11.5236755211378,-0.102645212474298,0.287488496002518,0.282700324263456,0.00478817173906243
"18-30","2016-2018",2018,"ht20",2,"H_T = 2 h",11.3690288291299,11.5236755211378,-0.154646692007905,0.289803606505544,0.282700324263456,0.0071032822420885
"18-30","2019-2021",2021,"ht20",2,"H_T = 2 h",12.3806261804298,11.5236755211378,0.856950659292012,0.264064470895024,0.282700324263456,-0.0186358533684315
"18-30","2022-2024",2024,"ht20",2,"H_T = 2 h",12.0055843718853,11.5236755211378,0.481908850747462,0.268223602307534,0.282700324263456,-0.0144767219559218
"31-55","2007-2009",2009,"baseline",1,"H_T = 1 h (baseline)",12.4474913271073,13.5207824069326,-1.07329107982527,0.293837099264492,0.287699517721774,0.00613758154271832
"31-55","2010-2012",2012,"baseline",1,"H_T = 1 h (baseline)",12.9856016424834,13.5207824069326,-0.535180764449152,0.292695553403444,0.287699517721774,0.00499603568167079
"31-55","2013-2015",2015,"baseline",1,"H_T = 1 h (baseline)",13.5339592440213,13.5207824069326,0.0131768370887375,0.29540134647936,0.287699517721774,0.00770182875758679
"31-55","2016-2018",2018,"baseline",1,"H_T = 1 h (baseline)",13.7923500459867,13.5207824069326,0.271567639054126,0.302395187510183,0.287699517721774,0.0146956697884097
"31-55","2019-2021",2021,"baseline",1,"H_T = 1 h (baseline)",14.0677759952768,13.5207824069326,0.546993588344202,0.268289365586503,0.287699517721774,-0.0194101521352703
"31-55","2022-2024",2024,"baseline",1,"H_T = 1 h (baseline)",14.2975161867199,13.5207824069326,0.776733779787355,0.273578554086658,0.287699517721774,-0.0141209636351153
"31-55","2007-2009",2009,"ht05",0.5,"H_T = 0.5 h",12.4437981980184,13.5183001554308,-1.0745019574124,0.293826405268189,0.287687937256951,0.00613846801123841
"31-55","2010-2012",2012,"ht05",0.5,"H_T = 0.5 h",12.9843008141122,13.5183001554308,-0.533999341318598,0.292684292079937,0.287687937256951,0.00499635482298622
"31-55","2013-2015",2015,"ht05",0.5,"H_T = 0.5 h",13.5308921824508,13.5183001554308,0.0125920270200517,0.295391838764779,0.287687937256951,0.00770390150782779
"31-55","2016-2018",2018,"ht05",0.5,"H_T = 0.5 h",13.7883375009139,13.5183001554308,0.270037345483154,0.302380743131617,0.287687937256951,0.0146928058746664
"31-55","2019-2021",2021,"ht05",0.5,"H_T = 0.5 h",14.0653780147983,13.5183001554308,0.54707785936753,0.268277233325257,0.287687937256951,-0.0194107039316941
"31-55","2022-2024",2024,"ht05",0.5,"H_T = 0.5 h",14.297094222291,13.5183001554308,0.778794066860268,0.273567110971926,0.287687937256951,-0.0141208262850248
"31-55","2007-2009",2009,"ht20",2,"H_T = 2 h",12.4469487954689,13.5195947480304,-1.07264595256154,0.293836642786539,0.287699637431811,0.00613700535472789
"31-55","2010-2012",2012,"ht20",2,"H_T = 2 h",12.9841204505529,13.5195947480304,-0.535474297477537,0.292695407546438,0.287699637431811,0.0049957701146276
"31-55","2013-2015",2015,"ht20",2,"H_T = 2 h",13.5333648201977,13.5195947480304,0.0137700721672616,0.295401301691734,0.287699637431811,0.00770166425992347
"31-55","2016-2018",2018,"ht20",2,"H_T = 2 h",13.7921285732635,13.5195947480304,0.272533825233049,0.302395948379296,0.287699637431811,0.014696310947485
"31-55","2019-2021",2021,"ht20",2,"H_T = 2 h",14.0656922039924,13.5195947480304,0.546097455961901,0.268289659553334,0.287699637431811,-0.019409977878477
"31-55","2022-2024",2024,"ht20",2,"H_T = 2 h",14.2953136447073,13.5195947480304,0.775718896676867,0.273578864633524,0.287699637431811,-0.0141207727982868
"56-65","2007-2009",2009,"baseline",1,"H_T = 1 h (baseline)",11.9269463265643,13.2466306963026,-1.31968436973833,0.211702703924391,0.226152090630773,-0.0144493867063814
"56-65","2010-2012",2012,"baseline",1,"H_T = 1 h (baseline)",12.6296956425806,13.2466306963026,-0.616935053722006,0.209998509143117,0.226152090630773,-0.0161535814876552
"56-65","2013-2015",2015,"baseline",1,"H_T = 1 h (baseline)",13.3320507039771,13.2466306963026,0.085420007674502,0.212899482076141,0.226152090630773,-0.0132526085546321
"56-65","2016-2018",2018,"baseline",1,"H_T = 1 h (baseline)",12.8911258176609,13.2466306963026,-0.355504878641758,0.242931306638924,0.226152090630773,0.0167792160081514
"56-65","2019-2021",2021,"baseline",1,"H_T = 1 h (baseline)",13.8867128411291,13.2466306963026,0.640082144826478,0.237174746386499,0.226152090630773,0.0110226557557265
"56-65","2022-2024",2024,"baseline",1,"H_T = 1 h (baseline)",14.8132528459037,13.2466306963026,1.56662214960112,0.242205795615563,0.226152090630773,0.0160537049847907
"56-65","2007-2009",2009,"ht05",0.5,"H_T = 0.5 h",11.9289025586287,13.2477442179755,-1.31884165934681,0.211698283127187,0.226147045505215,-0.0144487623780279
"56-65","2010-2012",2012,"ht05",0.5,"H_T = 0.5 h",12.6300872616549,13.2477442179755,-0.617656956320523,0.209997206695631,0.226147045505215,-0.0161498388095843
