"AgeGroup","Period","end_year","bandwidth","H_D","bw_label","mean_distance_active","baseline_mda","drift"
"56-65","2007-2009",2009,"baseline",5,"H_D = 5 km (baseline)",4.70847131956095,5.14292445499353,-0.43445313543258
"56-65","2010-2012",2012,"baseline",5,"H_D = 5 km (baseline)",5.09084442067296,5.14292445499353,-0.0520800343205678
"56-65","2013-2015",2015,"baseline",5,"H_D = 5 km (baseline)",5.26937073958632,5.14292445499353,0.126446284592796
"56-65","2016-2018",2018,"baseline",5,"H_D = 5 km (baseline)",5.18798197160218,5.14292445499353,0.0450575166086526
"56-65","2019-2021",2021,"baseline",5,"H_D = 5 km (baseline)",5.5033403950211,5.14292445499353,0.360415940027575
"56-65","2022-2024",2024,"baseline",5,"H_D = 5 km (baseline)",5.09753788351765,5.14292445499353,-0.0453865714758743
"56-65","2007-2009",2009,"bw3",3,"H_D = 3 km",4.40414446953775,4.86263580125563,-0.458491331717881
"56-65","2010-2012",2012,"bw3",3,"H_D = 3 km",4.84871125663234,4.86263580125563,-0.0139245446232881
"56-65","2013-2015",2015,"bw3",3,"H_D = 3 km",4.96707914901908,4.86263580125563,0.10444334776345
"56-65","2016-2018",2018,"bw3",3,"H_D = 3 km",4.87460609350407,4.86263580125563,0.0119702922484413
"56-65","2019-2021",2021,"bw3",3,"H_D = 3 km",5.22235150441056,4.86263580125563,0.359715703154925
"56-65","2022-2024",2024,"bw3",3,"H_D = 3 km",4.85892233442998,4.86263580125563,-0.00371346682564866
"56-65","2007-2009",2009,"bw7",7,"H_D = 7 km",5.02740657035288,5.44509589135451,-0.417689321001635
"56-65","2010-2012",2012,"bw7",7,"H_D = 7 km",5.35280966255392,5.44509589135451,-0.0922862288005923
"56-65","2013-2015",2015,"bw7",7,"H_D = 7 km",5.6106242640587,5.44509589135451,0.165528372704188
"56-65","2016-2018",2018,"bw7",7,"H_D = 7 km",5.51043082087077,5.44509589135451,0.0653349295162604
"56-65","2019-2021",2021,"bw7",7,"H_D = 7 km",5.81096426264045,5.44509589135451,0.365868371285933
"56-65","2022-2024",2024,"bw7",7,"H_D = 7 km",5.35833976765036,5.44509589135451,-0.0867561237041539
"66+","2007-2009",2009,"baseline",5,"H_D = 5 km (baseline)",4.31818142862194,4.54164620422863,-0.223464775606683
"66+","2010-2012",2012,"baseline",5,"H_D = 5 km (baseline)",4.10984315961701,4.54164620422863,-0.43180304461162
"66+","2013-2015",2015,"baseline",5,"H_D = 5 km (baseline)",4.07900383190032,4.54164620422863,-0.462642372328305
"66+","2016-2018",2018,"baseline",5,"H_D = 5 km (baseline)",4.93253856026519,4.54164620422863,0.390892356036563
"66+","2019-2021",2021,"baseline",5,"H_D = 5 km (baseline)",4.97411260051022,4.54164620422863,0.432466396281599
"66+","2022-2024",2024,"baseline",5,"H_D = 5 km (baseline)",4.83619764445707,4.54164620422863,0.294551440228447
"66+","2007-2009",2009,"bw3",3,"H_D = 3 km",3.99615742912866,4.22995427268251,-0.233796843553856
"66+","2010-2012",2012,"bw3",3,"H_D = 3 km",3.78423893456711,4.22995427268251,-0.445715338115406
"66+","2013-2015",2015,"bw3",3,"H_D = 3 km",3.74445462360074,4.22995427268251,-0.485499649081773
"66+","2016-2018",2018,"bw3",3,"H_D = 3 km",4.61930923019692,4.22995427268251,0.389354957514414
"66+","2019-2021",2021,"bw3",3,"H_D = 3 km",4.63048469245475,4.22995427268251,0.400530419772238
"66+","2022-2024",2024,"bw3",3,"H_D = 3 km",4.6050807261469,4.22995427268251,0.375126453464385
"66+","2007-2009",2009,"bw7",7,"H_D = 7 km",4.65205237205479,4.87085133497254,-0.218798962917753
"66+","2010-2012",2012,"bw7",7,"H_D = 7 km",4.44409286700995,4.87085133497254,-0.426758467962593
"66+","2013-2015",2015,"bw7",7,"H_D = 7 km",4.42346855738627,4.87085133497254,-0.44738277758627
"66+","2016-2018",2018,"bw7",7,"H_D = 7 km",5.27048224943092,4.87085133497254,0.399630914458378
"66+","2019-2021",2021,"bw7",7,"H_D = 7 km",5.32847869186594,4.87085133497254,0.457627356893392
"66+","2022-2024",2024,"bw7",7,"H_D = 7 km",5.10653327208739,4.87085133497254,0.235681937114846
